行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间
五河县,五河县双创产业园项目三条配套道路工程,双创产业园三条配套道路（国防南路、兴漴路、兴浍路）,4.57572,公路用地,划拨,,房屋和土木工程业,0,五河县久盛科技发展有限公司,1,2018年10月29日,2019年7月28日,2020年7月28日
蚌埠市本级,蚌埠市天公河及席家沟部分岸线环境综合治理工程（天河张公湖连通工程）,秦集镇、燕山乡,38.8354,公园与绿地,划拨,,水利管理业,,蚌埠水利建设投资有限公司,1,2018年10月29日,2019年3月20日,2020年6月30日
蚌埠市本级,长寿路（吴湾路-席家沟路）道路工程,长寿路（吴湾路-席家沟路）东段,0.3578,街巷用地,划拨,,工程准备,,蚌埠禹会建设投资有限责任公司,1,2018年10月25日,2018年11月30日,2019年4月20日
蚌埠市本级,山香路（兴华路-燕山路）道路工程,山香路（兴华路-燕山路）段,0.9513,街巷用地,划拨,,工程准备,,蚌埠高新区建设发展有限公司,1,2018年10月25日,2018年11月30日,2019年11月30日
蚌埠市本级,蚌埠市淮海小学,纬七路东侧、胜利西路北侧,1.5301,科教用地,划拨,,教育业,,蚌埠市禹会区教育和体育局,1,2018年10月25日,2019年1月28日,2021年1月28日
蚌埠市本级,禹会区马城镇污水处理厂,河堤路东侧、新居路北侧,1.1468,公共设施用地,划拨,,工程准备,,蚌埠禹会建设投资有限责任公司,0.5,2018年10月24日,2018年12月30日,2019年4月18日
怀远县,五岔输变电站项目,怀远县榴城镇新河社区,0.4067,公共设施用地,划拨,,公共设施管理业,,国网安徽省电力公司蚌埠供电公司,1,2018年10月23日,2019年2月28日,2021年2月27日
固镇县,边角地,石湖乡境内,0.506,公共设施用地,划拨,,其他服务业,,石湖乡政府,,2018年10月14日,,
固镇县,边角地,新马桥镇境内,2,公共设施用地,划拨,,其他服务业,,新马桥镇政府,,2018年10月14日,,
五河县,吴家嘴小区,五河县城南新区康民路北侧、女山路西侧,2.1071,其他普通商品住房用地,挂牌出让,70,房屋和土木工程业,3275,五河县城市建设投资经营有限责任公司,1.8,2018年10月12日,2019年6月30日,2020年6月30日
五河县,吴家嘴小区,五河县城南新区康民路北侧、女山路西侧,5.339,其他普通商品住房用地,挂牌出让,70,房屋和土木工程业,8260,五河县城市建设投资经营有限责任公司,1.8,2018年10月12日,2019年6月30日,2020年6月30日
五河县,阳明达塑胶材料,五河县城南新区兴潼路北侧、青松种业东侧,1.4809,工业用地,挂牌出让,50,塑料制品业,130,安徽省阳明达新材料科技有限公司,1,2018年10月11日,2019年6月30日,2020年6月30日
固镇县,固镇县未成年人保护中心,固镇县北城区胜利北路西侧、特教学校北侧,0.33342,科教用地,划拨,,社会福利业,,固镇县民政局,0.780.78,2018年10月10日,2019年6月10日,2020年6月10日
固镇县,固镇县公安局刘集派出所业务用房,刘集镇中兴路西、振兴路北,0.5569,机关团体用地,划拨,,国家机构,,固镇县公安局,0.300.30,2018年10月10日,2019年6月10日,2020年6月10日
固镇县,固镇县北城幼儿园,东风北路东侧、奋进路南侧、团结路北侧。,1.33585,科教用地,划拨,,教育业,,固镇县重点工程建设管理局,0.670.67,2018年10月10日,2019年6月10日,2020年6月10日
蚌埠市本级,工业项目,淮上区沫河口工业园区,26.6667,工业用地,挂牌出让,50,化学原料及化学制品制造业,6802,安徽八一化工股份有限公司,0.600.00,2018年10月10日,2019年3月29日,2020年3月29日
固镇县,固镇县杨罗幼儿园,任桥镇杨罗小学西侧,0.24618,科教用地,划拨,,教育业,,固镇县任桥中心小学,0.37,2018年10月10日,2019年6月10日,2020年6月10日
五河县,三塘建材厂,五河县朱顶镇三塘村窑厂路西侧,0.26,工业用地,挂牌出让,50,工程准备,40,徐宝山,0.7,2018年10月8日,2019年4月27日,2020年4月27日
五河县,三塘建材厂,五河县朱顶镇三塘村窑厂路北侧,1.3738,工业用地,挂牌出让,50,工程准备,212,徐宝山,0.7,2018年10月8日,2019年4月27日,2020年4月27日
怀远县,芡河变电站项目,怀远县龙亢经济开发区,0.85196,公共设施用地,划拨,,公共设施管理业,,国网安徽省电力公司怀远县供电公司,1,2018年9月26日,2019年2月26日,2021年2月25日
怀远县,安徽省通和房地产集团有限公司怀远分公司,怀远县龙亢农场,6.427055,其他普通商品住房用地,挂牌出让,70,房地产业,5700,安徽省通和房地产集团有限公司怀远分公司,1.802.00,2018年9月25日,2019年2月25日,2021年2月24日
