行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,,
兰溪市,兰溪经济开发区兰江功能区2017-39地块,经济开发区奇锦纺织东侧尖山路西侧,1.7814,工业用地,拍卖出让,50,纺织服装、鞋、帽制造业,668.025,浙江奇艺科技有限公司/?,1.20/1.80,2020年6月11日,2020年12月11日,2022年12月11日,,
磐安县,磐安县双峰乡上湖畈区块第1幢第1-4间,磐安县双峰乡上湖畈区块第1幢第1-4间,0.01612,城镇住宅用地,挂牌出让,70,房地产业,112.84,羊飞马/?,3.90/3.90,2020年6月11日,2020年12月10日,2022年6月10日,,
金华市本级,浙江金华市佳乐乳业有限公司位于九峰牧场以西地块三,九峰牧场以西,0.1279,旅馆用地,挂牌出让,40,住宿业,133.016,浙江金华市佳乐乳业有限公司/?,1.30/1.40,2020年6月11日,2021年9月8日,2023年9月8日,,
金华市本级,浙江金华市佳乐乳业有限公司位于九峰牧场以西地块二,九峰牧场以西,0.1187,旅馆用地,挂牌出让,40,住宿业,123.448,浙江金华市佳乐乳业有限公司/?,1.30/1.40,2020年6月11日,2021年9月8日,2023年9月8日,,
金华市本级,浙江金华市佳乐乳业有限公司位于九峰牧场以西地块一,九峰牧场以西,0.1012,旅馆用地,挂牌出让,40,住宿业,105.248,浙江金华市佳乐乳业有限公司/?,1.30/1.40,2020年6月11日,2021年9月8日,2023年9月8日,,
金华市本级,金华市未来财富中心投资发展有限公司位于海棠路以南、德胜街以东地块,海棠路以南、德胜街以东,2.47701,娱乐用地,挂牌出让,40,商务服务业,12682.2912,金华市未来财富中心投资发展有限公司/?,1.30/1.40,2020年6月11日,2021年9月8日,2023年9月8日,,
金华市本级,绍兴金麟企业管理咨询有限公司位于位于双龙南街以东、33号路以南地块,东至规划道路，西至双龙南街，南至规划34号路，北至规划33号路,5.48746,城镇住宅用地,挂牌出让,70,房地产业,110736.9428,绍兴金麟企业管理咨询有限公司/?,1.50/1.80,2020年6月11日,2021年9月8日,2023年9月8日,,
兰溪市,兰溪经济开发区姚溪西侧C#-1地块,经济开发区姚溪西侧,1.7539,工业用地,挂牌出让,50,通讯设备、计算机及其他电子设备制造业,657.7125,浙江合星照明器材有限公司/?,1.20/1.80,2020年6月10日,2020年12月10日,2022年12月10日,,
浦江县,黄宅镇中兴路以南一号地块,黄宅镇中兴路以南,1.3584,工业用地,挂牌出让,50,汽车制造,679.2,浙江万赛汽车零部件股份有限公司/?,1.50/3.50,2020年6月10日,2021年1月10日,2023年1月10日,,
金东区,浙江康贝尔科教设备有限公司,潜溪路以南、存统路以北、安国街以东,3.616055,工业用地,挂牌出让,50,文教体育用品制造业,1638.0729,浙江康贝尔科教设备有限公司/?,1.20/2.20,2020年6月10日,2021年2月23日,2023年2月23日,,
永康市,象珠镇柳墅小微企业园－3地块1#厂房－C,象珠镇柳墅小微企业园－3地块1#厂房－C,0.20476,工业用地,拍卖出让,50,金属制品业,1242.8932,永康市古斯万机械有限公司/?,4.00/4.00,2020年6月10日,2021年2月19日,2023年2月19日,,
武义县,新纪元双语学校二期建设工程,武义县莹乡路以东，芳华路以南地块,1.9996,教育用地,划拨,,教育业,725.8548,/武义县新纪元双语学校,1.41/1.41,2020年6月9日,2021年9月9日,2023年9月9日,,
义乌市,神舟路（清溪村-春晗路）延伸工程,后宅街道,0.2441,公路用地,划拨,,道路运输业,,/义乌市城市投资建设集团有限公司,/,2020年6月9日,2021年6月9日,2023年6月9日,,
浦江县,浦江县檀溪镇罗家源月牙湖区块B地块,檀溪镇罗家源,0.18,零售商业用地,挂牌出让,40,零售业,193.5,浙江凯泰旅游开发有限公司/?,1.30/1.50,2020年6月8日,2021年1月8日,2023年1月8日,,
浦江县,浦江县檀溪镇罗家源月牙湖区块A地块,檀溪镇罗家源,0.266,旅馆用地,挂牌出让,40,住宿业,258.02,浙江凯泰旅游开发有限公司/?,1.30/1.50,2020年6月8日,2021年1月8日,2023年1月8日,,
浦江县,浦阳街道群生陈蓬坑东南地块A2幢A2-05地块,陈蓬坑村东南角,0.016698,城镇住宅用地,挂牌出让,70,房地产业,239.4493,于怡勋/?,1.00/2.79,2020年6月8日,2021年1月8日,2023年1月8日,,
浦江县,浦阳街道群生陈蓬坑东南地块A2幢A2-04地块,陈蓬坑村东南角,0.0099,城镇住宅用地,挂牌出让,70,房地产业,139.59,吴盼灯/?,1.00/2.81,2020年6月8日,2021年1月8日,2023年1月8日,,
浦江县,浦阳街道群生陈蓬坑东南地块A2幢A2-02地块,陈蓬坑村东南角,0.0132,城镇住宅用地,挂牌出让,70,房地产业,187.572,金顺起/?,1.00/2.80,2020年6月8日,2021年1月8日,2023年1月8日,,
浦江县,浦阳街道群生陈蓬坑东南地块A2幢A2-01地块,陈蓬坑村东南角,0.013398,城镇住宅用地,挂牌出让,70,房地产业,208.2049,于琴琴/?,1.00/2.80,2020年6月8日,2021年1月8日,2023年1月8日,,
浦江县,浦阳街道群生陈蓬坑东南地块A2幢A2-03地块,陈蓬坑村东南角,0.0132,城镇住宅用地,挂牌出让,70,房地产业,190.212,吴燕珍/?,1.00/2.80,2020年6月8日,2021年1月8日,2023年1月8日,,
浦江县,浦阳街道群生陈蓬坑东南地块A1幢A1-05地块,陈蓬坑村东南角,0.016698,城镇住宅用地,挂牌出让,70,房地产业,259.153,周志刚/?,1.00/2.79,2020年6月8日,2021年1月8日,2023年1月8日,,
