编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
412,城镇住宅用地,盐城市,滨海县,滨海县城镇建设发展有限公司,滨海县新安大道南侧、仲景路东侧,70,挂牌,9892.8788,,2020,2020年1月,2020/1/9,66484.4,2,132968.8,滨海县城镇建设发展有限公司,,,,,,,,,,,,,,2020/3/9,2022/4/9
413,城镇住宅用地,盐城市,亭湖区,盐城国联投资发展有限公司,盐城市亭湖区南洋镇三尖居委会一、三组,70,挂牌,3935.1702,,2020,2020年1月,2020/1/8,51306,2.2,112873.2,盐城国联投资发展有限公司,,,,,,,,,,,,,,2020/4/30,2020/9/30
414,城镇住宅用地,盐城市,经济技术开发区,诚邦居住项目,盐城经济技术开发区新城街道蔡尖社区居委会、北舍村,70,挂牌,90805.8225,,2020,2020年1月,2020/1/8,124819,2.55,318288.45,盐城诚邦地产开发有限公司,,,,,,,,,,,,,,2021/1/8,2024/1/8
416,城镇住宅用地,盐城市,东台市,新曹农场职工宿舍楼,新曹农场天香路东侧,,划拨,0,,2020,2020年1月,2020/1/6,2609,1.04,2713.36,江苏省农垦新曹农场社区管理委员会,,,,,,,,,,,,,,2020/4/26,2020/10/26
418,城镇住宅用地,盐城市,阜宁县,阜宁县沃森污水处理有限公司,阜城街道办事处城南村,40年，70年,挂牌,15022,,2019,2019年12,2019/12/31,33330,2.5,83325,阜宁县沃森污水处理有限公司,,,,,,,,,,,,,,2021/4/9,2023/4/9
419,城镇住宅用地,盐城市,阜宁县,阜宁县新城置业有限公司,益林镇大东居委会,40年，70年,挂牌,13778,,2019,2019年12,2019/12/31,51386.03,3.5,179851.105,阜宁县新城置业有限公司,,,,,,,,,,,,,,2021/4/9,2023/4/9
421,城镇住宅用地,盐城市,阜宁县,江苏易桥建设发展有限公司,阜宁经济开发区专榆居委会,40年，70年,挂牌,26342,,2019,2019年12,2019/12/30,50006.86,3.5,175024.01,盐城易桥建设发展有限公司,,,,,,,,,,,,,,2020/9/12,2022/9/12
422,城镇住宅用地,盐城市,阜宁县,江苏易桥建设发展有限公司,阜宁经济开发区专榆居委会,40年，70年,挂牌,26540,,2019,2019年12,2019/12/30,50000.01,3.5,175000.035,盐城易桥建设发展有限公司,,,,,,,,,,,,,,2020/9/12,2022/9/12
423,城镇住宅用地,盐城市,阜宁县,阜宁县自来水有限公司,阜城街道办事处窑桥村,70年，40年,挂牌,25404,,2019,2019年12,2019/12/30,69933.33,3.5,244766.655,阜宁县自来水有限公司,,,,,,,,,,,,,,2020/9/12,2022/9/12
427,城镇住宅用地,盐城市,大丰市,盐城市大丰区振城建设有限公司,通港大道南侧、康平路东侧,70年，40年,挂牌,7800,,2019,2019年12,2019/12/26,48561,2.2,106834.2,盐城市大丰区振城建设有限公司,,,,,,,,,,,,,,2020/12/26,2022/12/26
443,城镇住宅用地,盐城市,滨海县,上海欧堡利亚股权投资管理集团有限公司,滨海县阜东大街东侧、环城路北侧,70,挂牌,26620.5915,,2019,2019年12,2019/12/16,66735,2,133470,上海欧堡利亚股权投资管理集团有限公司,,,,,,,,,,,,,,2020/2/16,2022/2/16
446,城镇住宅用地,盐城市,盐南高新区,江苏博雄置业有限公司,盐城市盐南高新区新河街道办事处新河社区,70,挂牌,15089.52,,2019,2019年12,2019/12/13,33493,2.4,80383.2,盐城兴邦置业有限公司,,,,,,,,,,,,,,2020/9/11,2023/9/11
448,城镇住宅用地,盐城市,滨海县,滨海华舜置业有限公司,滨海县人民大街东侧、凤鸣路南侧,70,挂牌,19148.793,,2019,2019年12,2019/12/12,50685,1.8,91233,滨海华舜置业有限公司,,,,,,,,,,,,,,2020/2/12,2022/2/12
508,城镇住宅用地,盐城市,大丰市,盐城市大丰区职业技术教育中心,盐城市大丰区西康路西侧、健康路南侧,70,协议,2388,,2019,2019年11,2019/11/30,8160,1.2,9792,盐城市大丰区职业技术教育中心,,,,,,,,,,,,,,2020/11/30,2022/11/30
531,城镇住宅用地,盐城市,东台市,悦达地产集团有限公司,和平路北、城东购物公园西,70年，40年,挂牌,20577.6,,2019,2019年11,2019/11/27,68592,2.5,171480,悦达地产集团有限公司,,,,,,,,,,,,,,2020/10/25,2023/10/25
542,城镇住宅用地,盐城市,建湖县,香港佳源集团有限公司,盐城市人民路东、南环路北侧,70,挂牌,101120.25,,2019,2019年11,2019/11/25,130827,2.58,337533.66,香港佳源集团有限公司,,,,,,,,,,,,,,2021/8/27,2023/8/28
562,城镇住宅用地,盐城市,建湖县,上冈镇南沙路南侧（原蚕种场）,上冈镇南沙路南侧（原蚕种场）,70年，40年,挂牌,8400,,2019,2019年11,2019/11/20,27128,1.5,40692,建湖县国投东部建设投资有限公司,,,,,,,,,,,,,,2020/4/20,2022/4/20
563,城镇住宅用地,盐城市,建湖县,上冈冈中路与老204国道交叉口地块,上冈冈中路与老204国道交叉口地块,40年，70年,挂牌,15500,,2019,2019年11,2019/11/20,46917,1.8,84450.6,建湖县国投东部建设投资有限公司,,,,,,,,,,,,,,2020/4/20,2022/4/20
564,城镇住宅用地,盐城市,建湖县,上冈镇原冈南中学地块二,上冈镇原冈南中学地块二,70,挂牌,6800,,2019,2019年11,2019/11/20,21012,1.5,31518,建湖县国投东部建设投资有限公司,,,,,,,,,,,,,,2020/4/20,2022/4/20
628,城镇住宅用地,盐城市,东台市,海门中南世纪城开发有限公司,范公路东侧、纬二路北侧,40年，70年,挂牌,7718.1475,,2019,2019年11,2019/11/12,44485,2.5,111212.5,海门中南世纪城开发有限公司,,,,,,,,,,,,,,2020/10/11,2023/10/11
695,城镇住宅用地,盐城市,东台市,中企万业(北京)房地产开发有限公司,范公路东侧、望海路北侧(宇航奶业地块),40年，70年,挂牌,25878,,2019,2019年11,2019/11/4,43130,2.5,107825,中企万业(北京)房地产开发有限公司,,,,,,,,,,,,,,2020/12/2,2023/12/2
703,城镇住宅用地,盐城市,射阳县,港城小学西侧2号地块,港城小学西侧2号地块,70,挂牌,24710,,2019,2019年10,2019/10/24,64456,2.4,154694.4,恒大地产集团南京置业有限公司,,,,,,,,,,,,,,2020/12/24,2023/12/24
736,城镇住宅用地,盐城市,经济技术开发区,星展居住、商业、商务用地,盐城经济技术开发区新城街道阳光社区居委会,70,挂牌,38670.69,,2019,2019年10,2019/10/16,60145,2.7,162391.5,盐城星展房地产开发有限公司,,,,,,,,,,,,,,2020/10/16,2023/10/16
739,城镇住宅用地,盐城市,大丰市,盐城市大丰区银盛房地产开发有限公司,西康路西侧，梅花湾东侧,70,挂牌,15370,,2019,2019年10,2019/10/8,46982,1.3,61076.6,盐城市大丰区银盛房地产开发有限公司,,,,,,,,,,,,,,2020/10/10,2022/10/10
740,城镇住宅用地,盐城市,东台市,陈德兰,东台市时堰镇万颐广场南侧,70,挂牌,4604.076,,2019,2019年9月,2019/9/30,30092,1.8,54165.6,陈德兰,,,,,,,,,,,,,,2020/7/30,2023/7/30
773,城镇住宅用地,盐城市,盐都区,盐城市城开置业有限公司,盐都区潘黄街道开创路东、鹿鸣路南,70,挂牌,12985.351,,2019,2019年9月,2019/9/19,56414,2.2,124110.8,盐城市城开置业有限公司,,,,,,,,,,,,,,2021/2/18,2024/2/17
779,城镇住宅用地,盐城市,盐都区,江苏开乾安置房建设有限公司,盐都区潘黄街道东进路南、宝兴路东侧,70,挂牌,22103.6802,,2019,2019年9月,2019/9/17,96861,2.2,213094.2,江苏开乾安置房建设有限公司,,,,,,,,,,,,,,2021/2/16,2024/2/15
780,城镇住宅用地,盐城市,亭湖区,盐城兴北实业投资有限公司,盐城市亭湖区新洋街道办事处袁河村民委员会三、四组,70,挂牌,17065.1073,,2019,2019年9月,2019/9/17,116279,2.5,290697.5,盐城兴北实业投资有限公司,,,,,,,,,,,,,,2020/9/17,2023/9/17
786,城镇住宅用地,盐城市,射阳县,凤兴公寓,开发区凤兴居委会,,划拨,0,,2019,2019年9月,2019/9/14,3318,2.3,7631.4,射阳县安居经济适用住房发展中心,,,,,,,,,,,,,,2020/9/16,2022/9/15
801,城镇住宅用地,盐城市,经济技术开发区,东泰中舍四期项目,盐城经济技术开发区新城街道悦河社区居委会,70,挂牌,12448.576,,2019,2019年9月,2019/9/9,111148,2.2,244525.6,盐城东泰房地产开发有限公司,,,,,,,,,,,,,,2020/9/6,2023/9/6
805,城镇住宅用地,盐城市,东台市,盐城碧桂园房地产开发有限公司,船配厂周边地块,40年，70年，50年,挂牌,30920.148,,2019,2019年9月,2019/9/5,88851,1.8,159931.8,盐城碧桂园房地产开发有限公司,,,,,,,,,,,,,,2021/2/5,2024/2/5
816,城镇住宅用地,盐城市,东台市,江苏紫园房地产开发有限公司,君豪华庭南侧地块,70,挂牌,6050.625,,2019,2019年8月,2019/8/28,6915,1.5,10372.5,江苏紫园房地产开发有限公司,,,,,,,,,,,,,,2020/6/28,2022/6/28
