编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
287,零售商业用地,盐城市,阜宁县,星红达,阜宁经济开发区顾庄村一组,35.51,协议,731.41,,2020,2020年3月,2020/3/2,7876.47,1.49,11735.9403,江苏星宏达网络科技有限公司,,,,,,,,,,,,,,2020/5/2,2021/5/2
288,零售商业用地,盐城市,阜宁县,阜宁县城市投资发展有限责任公司,阜宁县阜城街道办事处孙桥村,40,挂牌,2983,,2020,2020年2月,2020/2/28,32218.66,0.5,16109.33,阜宁县城市投资发展有限责任公司,,,,,,,,,,,,,,2021/6/1,2023/6/1
290,零售商业用地,盐城市,阜宁县,中国石油天然气股份有限公司江苏盐城销售分公司,罗桥镇金韩村,40,挂牌,1823,,2020,2020年2月,2020/2/28,3329.44,0.4,1331.776,中国石油天然气股份有限公司江苏盐城销售分公司,,,,,,,,,,,,,,2021/6/1,2023/6/1
291,零售商业用地,盐城市,阜宁县,阜宁县富兴达建设投资有限公司,益林镇荡西村,40,挂牌,335,,2020,2020年2月,2020/2/28,5569.5,2.5,13923.75,阜宁县富兴达建设投资有限公司,,,,,,,,,,,,,,2021/6/1,2023/6/1
292,零售商业用地,盐城市,阜宁县,阜宁豪合缘酒店管理有限公司,羊寨镇后沙岗村,40,挂牌,154,,2020,2020年2月,2020/2/28,2544.13,1.5,3816.195,阜宁豪合缘酒店管理有限公司,,,,,,,,,,,,,,2021/6/1,2023/6/1
293,零售商业用地,盐城市,阜宁县,阜宁县富兴达建设投资有限公司,三灶镇后三灶村,40,挂牌,137,,2020,2020年2月,2020/2/28,2152.2,2.5,5380.5,阜宁县富兴达建设投资有限公司,,,,,,,,,,,,,,2021/6/1,2023/6/1
294,零售商业用地,盐城市,阜宁县,阜宁县富兴达建设投资有限公司,三灶镇沿渠村,40,挂牌,119,,2020,2020年2月,2020/2/28,1865.4,2.5,4663.5,阜宁县富兴达建设投资有限公司,,,,,,,,,,,,,,2021/6/1,2023/6/1
295,零售商业用地,盐城市,阜宁县,阜宁县富兴达建设投资有限公司,羊寨镇王山村,40,挂牌,113,,2020,2020年2月,2020/2/28,1819.7,2.5,4549.25,阜宁县富兴达建设投资有限公司,,,,,,,,,,,,,,2021/6/1,2023/6/1
296,零售商业用地,盐城市,阜宁县,阜宁县富兴达建设投资有限公司,益林镇荡东村,40,挂牌,104,,2020,2020年2月,2020/2/28,1722.8,2.5,4307,阜宁县富兴达建设投资有限公司,,,,,,,,,,,,,,2021/6/1,2023/6/1
297,零售商业用地,盐城市,阜宁县,阜宁县富兴达建设投资有限公司,沟墩镇曹唐村,40,挂牌,101,,2020,2020年2月,2020/2/28,1708.1,2.5,4270.25,阜宁县富兴达建设投资有限公司,,,,,,,,,,,,,,2021/6/1,2023/6/1
298,零售商业用地,盐城市,阜宁县,阜宁县富兴达建设投资有限公司,公兴社区射河村,40,挂牌,100,,2020,2020年2月,2020/2/28,1666.67,2.5,4166.675,阜宁县富兴达建设投资有限公司,,,,,,,,,,,,,,2021/6/1,2023/6/1
299,零售商业用地,盐城市,阜宁县,阜宁县富兴达建设投资有限公司,羊寨镇孔苏村,40,挂牌,100,,2020,2020年2月,2020/2/28,1607.8,2.5,4019.5,阜宁县富兴达建设投资有限公司,,,,,,,,,,,,,,2021/6/1,2023/6/1
