编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,容积,率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
60,工业用地,盐城市,大丰市,江苏金风科技有限公司,大丰港物流园区中南汇东侧、二期码头望海楼南侧,50,挂牌出让,,773.69,,2020,2020年5月,2020年5月21日,39676,0.901.20,0.9,1.2,,江苏金风科技有限公司,,,,,,,,,,,,,,2021年5月20日,2023年5月20日
61,工业用地,盐城市,阜宁县,江苏美凯奥纺织科技有限公司,花园街道办事处新丰居委会,50,挂牌出让,,397,,2020,2020年5月,2020年5月20日,18232.38,1.002.00,1,2,,江苏美凯奥纺织科技有限公司,,,,,,,,,,,,,,2020年12月30日,2022年12月30日
62,工业用地,盐城市,阜宁县,江苏宸彩钜创科技发展有限公司,郭墅镇孙郑居委会,50,挂牌出让,,430,,2020,2020年5月,2020年5月20日,20078.1,1.002.00,1,2,,江苏宸彩钜创科技发展有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
63,仓储用地,盐城市,阜宁县,阜宁恒源电气实业有限公司,花园街道办事处新丰居委会,50,挂牌出让,,428,,2020,2020年5月,2020年5月20日,19617.4,0.802.00,0.8,2,,阜宁恒源电气实业有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
64,工业用地,盐城市,阜宁县,江苏希德风光电设备科技有限公司,花园街道办事处新丰居委会,50,挂牌出让,,127,,2020,2020年5月,2020年5月20日,5837.46,1.002.00,1,2,,江苏希德风光电设备科技有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
65,仓储用地,盐城市,阜宁县,阜宁恒源电气实业有限公司,花园街道办事处新丰居委会,50,挂牌出让,,124,,2020,2020年5月,2020年5月20日,5680.2,0.802.00,0.8,2,,阜宁恒源电气实业有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
66,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇孙郑居委会,50,挂牌出让,,7,,2020,2020年5月,2020年5月20日,349.96,1,1,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
67,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇张庄村,50,挂牌出让,,7,,2020,2020年5月,2020年5月20日,349.96,1,1,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
68,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇沙河村,50,挂牌出让,,7,,2020,2020年5月,2020年5月20日,349.96,1,1,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
69,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇沙河村,50,挂牌出让,,7,,2020,2020年5月,2020年5月20日,349.96,1,1,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
