编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,容积,率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
2366,公共设施用地,盐城市,阜宁县,东华能源,经济开发区新丰居委会,40,挂牌出让,,491,,2018,2018年3月,2018年3月16日,27893.4,0.010.10,0.01,0.1,,阜宁东华能源有限公司,,,,,,,,,,,,,,2018年6月16日,2019年6月16日
2367,其他商服用地,盐城市,阜宁县,东华能源,经济开发区新丰居委会,40,挂牌出让,,158,,2018,2018年3月,2018年3月16日,2290.4,0.100.20,0.1,0.2,,阜宁东华能源有限公司,,,,,,,,,,,,,,2018年6月16日,2019年6月16日
2368,公路用地,盐城市,盐都区,盐城市盐都区纬三路（振兴大道-益民路）,盐都区盐龙街道办事处,,划拨,,0,,2018,2018年3月,2018年3月16日,37162,0.000.00,0,1,,盐都区盐龙街道办事处,,,,,,,,,,,,,,2018年5月1日,2019年5月1日
2369,中低价位、中小套型普通商品住房用地,盐城市,亭湖区,盐城凯龙置业有限公司,盐城市亭湖区新洋街道办事处盐湾村一、二组,70,挂牌出让,,46031.6925,,2018,2018年3月,2018年3月15日,193005,1.001.88,1,1.88,,盐城凯龙置业有限公司,,,,,,,,,,,,,,2019年3月15日,2022年3月15日
2370,其他普通商品住房用地,盐城市,射阳县,盐城市绿岛置业有限公司,海通镇通港路西侧地块,70,挂牌出让,,955,,2018,2018年3月,2018年3月15日,15005,1.002.20,1,2.2,,盐城市绿岛置业有限公司,,,,,,,,,,,,,,2019年1月15日,2022年1月15日
2371,公路用地,盐城市,盐都区,盐城市经二路（青年路-科苑路）项目,盐都区盐龙街道办事处,,划拨,,0,,2018,2018年3月,2018年3月15日,12525,0.000.00,0,1,,盐都区盐龙街道办事处,,,,,,,,,,,,,,2018年5月1日,2019年5月1日
2372,公路用地,盐城市,盐都区,盐城市盐都区盐金路东延工程项目,盐都区潘黄街道、郭猛镇,,划拨,,0,,2018,2018年3月,2018年3月15日,103422,0.000.00,0,1,,盐都区交通运输局,,,,,,,,,,,,,,2018年5月1日,2019年5月1日
2373,公路用地,盐城市,盐都区,盐城市盐都区秦南镇跨越路工程项目,盐都区秦南镇,,划拨,,0,,2018,2018年3月,2018年3月15日,29316,0.000.00,0,1,,盐都区交通运输局,,,,,,,,,,,,,,2018年5月1日,2019年5月1日
2374,公共设施用地,盐城市,盐都区,盐城市盐都区小马沟体育公园,盐都区潘黄街道办事处,,划拨,,0,,2018,2018年3月,2018年3月15日,218404,0.000.00,0,1,,盐都区潘黄街道办事处,,,,,,,,,,,,,,2018年5月1日,2020年5月1日
2375,公共设施用地,盐城市,盐都区,盐城市盐都区110kv都西输变电项目,盐都区盐渎街道办事处,,划拨,,0,,2018,2018年3月,2018年3月15日,5950,0.000.00,0,1,,盐都区盐渎街道办事处,,,,,,,,,,,,,,2018年5月1日,2019年5月1日
2376,公共设施用地,盐城市,盐都区,盐城市兰园公墓管理处福利公墓迁址项目,盐都区大冈镇,,划拨,,0,,2018,2018年3月,2018年3月15日,85717,0.000.00,0,1,,盐都区大冈镇,,,,,,,,,,,,,,2018年5月1日,2020年5月1日
2377,公路用地,盐城市,盐都区,关于批准盐城市盐都区丁千路建设用地项目,盐都区盐龙街道办事处,,划拨,,0,,2018,2018年3月,2018年3月15日,110934,0.000.00,0,1,,盐都区盐龙街道办事处,,,,,,,,,,,,,,2018年5月1日,2019年5月1日
2378,公园与绿地,盐城市,盐都区,盐城市盐都区小马沟体育公园,盐都区潘黄街道办事处,,划拨,,0,,2018,2018年3月,2018年3月15日,231296,0.000.00,0,1,,盐都区潘黄街道办事处,,,,,,,,,,,,,,2018年5月1日,2020年5月1日
2379,公共设施用地,盐城市,射阳县,110KV海河输变电工程,海河镇四长线南侧,,划拨,,47.2971,,2018,2018年3月,2018年3月15日,3430,0.001.00,0,1,,国网江苏省电力公司盐城供电分公司,,,,,,,,,,,,,,2018年6月13日,2020年6月12日
2380,其他商服用地,盐城市,射阳县,射阳县鼎成建设有限公司,临海镇靶场路北侧园区路东侧地块,40,挂牌出让,,5778,,2018,2018年3月,2018年3月15日,62869.3,1.002.00,1,2,,射阳县鼎成建设有限公司,,,,,,,,,,,,,,2019年1月15日,2022年1月15日
2381,工业用地,盐城市,滨海县,滨海天宇木业有限公司,滨淮镇民营园纬四路北侧,50,挂牌出让,,175.66,,2018,2018年3月,2018年3月15日,15683.7,0.800.00,0.8,0.8,,滨海天宇木业有限公司,,,,,,,,,,,,,,2019年7月25日,2021年8月12日
2382,公共设施用地,盐城市,盐都区,关于批准盐城市粮食物流中心项目建设用地的通知,盐都区张庄街道办事处,,划拨,,0,,2018,2018年3月,2018年3月15日,26179,0.000.00,0,1,,盐都区张庄街道办事处,,,,,,,,,,,,,,2018年5月1日,2019年5月1日
2383,其他商服用地,盐城市,亭湖区,中国石油天然气股份有限公司江苏盐城销售分公司,盐城市亭湖区南洋镇青墩村民委员会四组,40,挂牌出让,,6808.32,,2018,2018年3月,2018年3月14日,2524,0.000.40,0,0.4,,中国石油天然气股份有限公司江苏盐城销售分公司,,,,,,,,,,,,,,2019年3月14日,2022年3月14日
2384,公路用地,盐城市,盐都区,盐城市盐都区盐龙街道办事处秦川路延伸工程项目,盐都区盐龙街道办事处,,划拨,,0,,2018,2018年3月,2018年3月14日,57607,0.000.00,0,1,,盐都区盐龙街道办事处,,,,,,,,,,,,,,2018年5月1日,2019年5月1日
2385,公路用地,盐城市,盐都区,盐城市盐都区盐龙街道办事处纬八路东段工程项目,盐都区盐龙街道办事处,,划拨,,0,,2018,2018年3月,2018年3月14日,26625,0.000.00,0,1,,盐都区盐龙街道办事处,,,,,,,,,,,,,,2018年5月1日,2019年5月1日
2386,其他商服用地,盐城市,大丰市,盐城大丰自来水有限公司,盐城市大丰区健康西路北侧、建设路西侧,40,挂牌出让,,1037,,2018,2018年3月,2018年3月13日,2420,0.002.50,0,2.5,,盐城大丰自来水有限公司,,,,,,,,,,,,,,2018年9月15日,2020年9月15日
2387,其他商服用地,盐城市,大丰市,盐城大丰原乡星星乐园生态农业开发有限公司,盐城市大丰区大中镇恒北大道南侧，东宁路西侧,40,挂牌出让,,1857,,2018,2018年3月,2018年3月13日,24749,0.001.20,0,1.2,,盐城大丰原乡星星乐园生态农业开发有限公司,,,,,,,,,,,,,,2018年9月15日,2020年9月15日
2388,中低价位、中小套型普通商品住房用地,盐城市,大丰市,江苏权健置业有限公司,盐城市大丰区开发区锦丰路东侧，反修河南侧,40,挂牌出让,,7927,,2018,2018年3月,2018年3月13日,52846,1.201.50,1.2,1.5,,江苏权健置业有限公司,,,,,,,,,,,,,,2018年9月15日,2020年9月15日
2389,住宿餐饮用地,盐城市,大丰市,熙辉富业置地江苏有限公司,盐城市大丰区新丰镇庆丰路西侧、阿姆斯特丹南侧,40,挂牌出让,,1440,,2018,2018年3月,2018年3月13日,12000,1.002.00,1,2,,熙辉富业置地江苏有限公司,,,,,,,,,,,,,,2018年9月15日,2020年9月15日
2390,其他商服用地,盐城市,大丰市,江苏盐阜家庭农场有限公司,盐城市大丰区三龙镇和平村,40,挂牌出让,,88,,2018,2018年3月,2018年3月13日,2234,0.002.00,0,2,,江苏盐阜家庭农场有限公司,,,,,,,,,,,,,,2018年9月15日,2020年9月15日
2391,公共设施用地,盐城市,盐都区,盐都区新建盐龙汽车站项目,盐都区盐龙街道办事处,,划拨,,0,,2018,2018年3月,2018年3月13日,71417,0.000.00,0,1,,盐龙街道办事处,,,,,,,,,,,,,,2018年5月1日,2019年4月1日
2392,公共设施用地,盐城市,盐都区,盐都区新建盐都仓储分库项目,盐都区尚庄镇,,划拨,,0,,2018,2018年3月,2018年3月13日,104554,0.000.00,0,1,,盐都区尚庄镇,,,,,,,,,,,,,,2018年5月1日,2019年4月1日
2393,公路用地,盐城市,盐都区,盐都区振兴北路扩建工程项目,盐都区张庄街道办事处,,划拨,,0,,2018,2018年3月,2018年3月13日,83975,0.000.00,0,1,,盐都区张庄街道办事处,,,,,,,,,,,,,,2018年5月1日,2019年4月1日
2394,公路用地,盐城市,盐都区,盐都区纬五路（振兴路-冈沟河）工程项目,盐都区盐龙街道办事处,,划拨,,0,,2018,2018年3月,2018年3月13日,37712,0.000.00,0,1,,盐都区盐龙街道办事处,,,,,,,,,,,,,,2018年4月30日,2020年4月30日
2395,公路用地,盐城市,盐都区,盐都区新建神州路（盐渎路-南环路）项目,盐都区盐渎街道办事处,,划拨,,0,,2018,2018年3月,2018年3月13日,109812,0.000.00,0,1,,盐都区盐渎街道办事处,,,,,,,,,,,,,,2018年5月1日,2020年5月1日
2396,公共设施用地,盐城市,盐都区,盐都区新建城乡生活垃圾卫生填埋场项目,盐都区学富镇,,划拨,,0,,2018,2018年3月,2018年3月13日,39990,0.000.00,0,1,,盐都区学富镇,,,,,,,,,,,,,,2018年5月1日,2019年5月1日
2397,工业用地,盐城市,射阳县,江苏渝辉数控机械科技有限公司,射阳经济开发区兴腾路西人民西路南侧,50,挂牌出让,,45.0912,,2018,2018年3月,2018年3月13日,2684,0.702.50,0.7,2.5,,江苏渝辉数控机械科技有限公司,,,,,,,,,,,,,,2018年11月12日,2020年11月11日
2398,工业用地,盐城市,射阳县,射阳达盛机械制造有限公司,射阳经济开发区兴腾路西创业路北侧,50,挂牌出让,,46.2806,,2018,2018年3月,2018年3月13日,2754.8,0.702.50,0.7,2.5,,射阳达盛机械制造有限公司,,,,,,,,,,,,,,2018年11月12日,2020年11月11日
2399,工业用地,盐城市,射阳县,射阳中路机械制造有限公司,射阳经济开发区新胜大沟东人民西路南侧,50,挂牌出让,,126.9744,,2018,2018年3月,2018年3月13日,7558,0.702.50,0.7,2.5,,射阳中路机械制造有限公司,,,,,,,,,,,,,,2018年11月12日,2020年11月11日
2400,工业用地,盐城市,射阳县,盐城利尔汽车部件有限公司,射阳经济开发区兴腾路西创业路北侧,50,挂牌出让,,269.9122,,2018,2018年3月,2018年3月13日,16066.2,0.702.50,0.7,2.5,,盐城利尔汽车部件有限公司,,,,,,,,,,,,,,2018年11月12日,2020年11月11日
2401,工业用地,盐城市,射阳县,江苏驰鹰机车科技有限公司,射阳经济开发区兴腾路西人民西路南侧,50,挂牌出让,,149.772,,2018,2018年3月,2018年3月13日,8915,0.702.50,0.7,2.5,,江苏驰鹰机车科技有限公司,,,,,,,,,,,,,,2018年11月12日,2020年11月11日
2402,公共设施用地,盐城市,盐都区,盐都区郭猛公交回车场项目,盐都区郭猛镇,,划拨,,0,,2018,2018年3月,2018年3月13日,36000,0.000.00,0,1,,盐都区郭猛镇,,,,,,,,,,,,,,2018年5月1日,2019年5月1日
2403,工业用地,盐城市,射阳县,江苏祺特汽车部件有限公司,射阳经济开发区新胜大沟东人民西路南侧,50,挂牌出让,,132.6024,,2018,2018年3月,2018年3月13日,7893,0.702.50,0.7,2.5,,江苏祺特汽车部件有限公司,,,,,,,,,,,,,,2018年11月12日,2020年11月11日
2404,公共设施用地,盐城市,盐都区,盐都区新建冈中汽车公交停车场项目,盐都区冈中街道办事处,,划拨,,0,,2018,2018年3月,2018年3月13日,12334,0.000.00,0,1,,盐都区冈中街道办事处,,,,,,,,,,,,,,2018年5月1日,2019年5月1日
2405,工业用地,盐城市,射阳县,江苏赛耐气门有限公司,射阳经济开发区兴腾路西人民西路南侧,2,挂牌出让,,159.0439,,2018,2018年3月,2018年3月13日,9466.9,0.702.50,0.7,2.5,,江苏赛耐气门有限公司,,,,,,,,,,,,,,2018年11月12日,2020年11月11日
2406,工业用地,盐城市,射阳县,江苏鸿利汽车零部件有限公司,射阳经济开发区新胜大沟东创业路北侧,50,挂牌出让,,102.5136,,2018,2018年3月,2018年3月13日,6102,0.702.50,0.7,2.5,,江苏鸿利汽车零部件有限公司,,,,,,,,,,,,,,2018年11月12日,2020年11月11日
2407,公路用地,盐城市,盐都区,盐城市盐都区盐龙街道办事处华锐路南延工程项目,盐都区盐龙街道办事处,,划拨,,0,,2018,2018年3月,2018年3月13日,43872,0.000.00,0,1,,盐都区盐龙街道办事处,,,,,,,,,,,,,,2018年5月1日,2019年5月1日
2408,公路用地,盐城市,盐都区,盐城市盐都区盐龙街道办事处盐渎路工程项目,盐都区盐龙街道办事处,,划拨,,0,,2018,2018年3月,2018年3月13日,131929,0.000.00,0,1,,盐都区盐龙街道办事处,,,,,,,,,,,,,,2018年5月1日,2019年5月1日
2409,工业用地,盐城市,射阳县,江苏安灼达数控机械科技有限公司,射阳经济开发区兴腾路西创业路北侧,50,挂牌出让,,90.7502,,2018,2018年3月,2018年3月13日,5401.8,0.702.50,0.7,2.5,,江苏安灼达数控机械科技有限公司,,,,,,,,,,,,,,2018年11月12日,2020年11月11日
2410,公路用地,盐城市,盐都区,盐城市盐都区盐龙街道办事处科创路工程,盐都区盐龙街道办事处,,划拨,,0,,2018,2018年3月,2018年3月13日,14781,0.000.00,0,1,,盐都区盐龙街道办事处,,,,,,,,,,,,,,2018年5月1日,2019年5月1日
2411,公路用地,盐城市,盐都区,盐城市盐都区盐龙街道办事处中恒路工程项目,盐都区盐龙街道办事处,,划拨,,0,,2018,2018年3月,2018年3月13日,11041,0.000.00,0,1,,盐都区盐龙街道办事处,,,,,,,,,,,,,,2018年5月1日,2019年5月1日
2412,工业用地,盐城市,大丰市,盐城市大丰区清泉环保设备有限公司,盐城市大丰区三龙镇龙东村六组,50,挂牌出让,,650,,2018,2018年3月,2018年3月12日,33333,0.701.20,0.7,1.2,,盐城市大丰区清泉环保设备有限公司,,,,,,,,,,,,,,2018年9月14日,2020年9月14日
2413,工业用地,盐城市,大丰市,盐城市大丰润丰时装有限公司,盐城市大丰区开发区祥丰路西侧,50,挂牌出让,,146.25,,2018,2018年3月,2018年3月12日,7500,1.001.50,1,1.5,,盐城市大丰润丰时装有限公司,,,,,,,,,,,,,,2018年9月14日,2020年9月14日
2414,公路用地,盐城市,盐都区,盐都区大纵湖旅游经济区环湖景观大道项目,盐都区滨湖街道办事处,,划拨,,0,,2018,2018年3月,2018年3月12日,111697,0.000.00,0,1,,盐都区大纵湖人民政府,,,,,,,,,,,,,,2018年5月1日,2019年3月30日
2415,其他商服用地,盐城市,射阳县,射阳国投凤凰汇置业有限公司,千鹤湖公园南侧1号地块,70,挂牌出让,,44230,,2018,2018年3月,2018年3月12日,76584.7,1.002.70,1,2.7,,射阳国投凤凰汇置业有限公司,,,,,,,,,,,,,,2019年1月12日,2022年1月12日
2416,其他普通商品住房用地,盐城市,射阳县,盐城绿洲房地产开发有限公司,千鹤湖公园南侧2号地块,70,挂牌出让,,31700,,2018,2018年3月,2018年3月12日,56135.7,1.002.50,1,2.5,,盐城绿洲房地产开发有限公司,,,,,,,,,,,,,,2019年1月12日,2022年1月12日
2417,其他普通商品住房用地,盐城市,射阳县,射阳国投置业有限公司,千鹤湖公园南侧3号地块,70,挂牌出让,,39580,,2018,2018年3月,2018年3月12日,66785.8,1.003.00,1,3,,射阳国投置业有限公司,,,,,,,,,,,,,,2019年1月12日,2022年1月12日
2418,其他普通商品住房用地,盐城市,射阳县,射阳国投置业有限公司,海都路东侧4号地块,70,挂牌出让,,33910,,2018,2018年3月,2018年3月12日,57186.6,1.002.80,1,2.8,,射阳国投置业有限公司,,,,,,,,,,,,,,2019年1月12日,2022年1月12日
2419,中低价位、中小套型普通商品住房用地,盐城市,响水县,响水城市资产投资控股集团有限公司,珠江路北侧、清源路东侧（A）地块,70,挂牌出让,,14231,,2018,2018年3月,2018年3月10日,69214,1.002.00,1,2,,响水城市资产投资控股集团有限公司,,,,,,,,,,,,,,2018年10月1日,2021年9月30日
2420,工业用地,盐城市,东台市,江苏集曼金属构件有限公司,东台市南沈灶镇港桥村一组,50,挂牌出让,,366.384,,2018,2018年3月,2018年3月8日,21552,0.700.00,0.7,0.7,,江苏集曼金属构件有限公司,,,,,,,,,,,,,,2018年11月8日,2020年11月8日
2421,工业用地,盐城市,射阳县,江苏渝辉数控机械科技有限公司,射阳经济开发区兴腾路西人民西路南侧,50,挂牌出让,,148.9656,,2018,2018年3月,2018年3月8日,8867,0.701.20,0.7,1.2,,江苏渝辉数控机械科技有限公司,,,,,,,,,,,,,,2018年11月12日,2020年11月11日
2422,工业用地,盐城市,射阳县,射阳达盛机械制造有限公司,射阳经济开发区兴腾路西创业路北侧1#,50,挂牌出让,,149.3856,,2018,2018年3月,2018年3月8日,8892,0.701.20,0.7,1.2,,射阳达盛机械制造有限公司,,,,,,,,,,,,,,2018年11月12日,2020年11月11日
2423,工业用地,盐城市,射阳县,盐城海普润膜科技有限公司,射阳县射阳港经济区磐石路北侧建材三路东侧,50,挂牌出让,,765.4608,,2018,2018年3月,2018年3月7日,53157,0.702.50,0.7,2.5,,盐城海普润膜科技有限公司,,,,,,,,,,,,,,2018年11月12日,2020年11月11日
2424,经济适用住房用地,盐城市,建湖县,建湖县建阳镇人民政府新建临湖家园保障性安置房二期项目,建阳镇建南村四组,,划拨,,0,,2018,2018年3月,2018年3月7日,26742,1.001.50,1,1.5,,建湖县建阳镇人民政府,,,,,,,,,,,,,,2018年5月31日,2020年5月30日
2425,公共设施用地,盐城市,射阳县,江苏秾晨新能源有限公司,射阳港引淡河南侧1#-3#,50,挂牌出让,,18.72,,2018,2018年3月,2018年3月7日,1300,1.000.00,1,1,,江苏秾晨新能源有限公司,,,,,,,,,,,,,,2018年11月12日,2020年11月11日
2426,工业用地,盐城市,射阳县,江苏安灼达数控机械科技有限公司,射阳经济开发区兴腾路西创业路北侧,50,挂牌出让,,182.5824,,2018,2018年3月,2018年3月7日,10868,0.701.20,0.7,1.2,,江苏安灼达数控机械科技有限公司,,,,,,,,,,,,,,2018年11月12日,2020年11月11日
2427,工业用地,盐城市,射阳县,江苏安灼达数控机械科技有限公司,射阳经济开发区兴腾路西创业路北侧2#,50,挂牌出让,,135.9792,,2018,2018年3月,2018年3月7日,8094,0.701.20,0.7,1.2,,江苏安灼达数控机械科技有限公司,,,,,,,,,,,,,,2018年11月12日,2020年11月11日
2428,经济适用住房用地,盐城市,建湖县,建湖县建阳镇人民政府新建润阳家园拆迁安置房项目,建阳镇职工村一组,,划拨,,0,,2018,2018年3月,2018年3月7日,26421,1.001.50,1,1.5,,建湖县建阳镇人民政府,,,,,,,,,,,,,,2018年5月31日,2020年5月30日
2429,经济适用住房用地,盐城市,建湖县,建湖县建阳镇人民政府新建（建南村）拆迁安置房项目,建阳镇建南村四组,,划拨,,0,,2018,2018年3月,2018年3月7日,13458,1.001.50,1,1.5,,建湖县建阳镇人民政府,,,,,,,,,,,,,,2018年7月6日,2020年7月5日
2430,经济适用住房用地,盐城市,建湖县,建湖县建阳镇人民政府新建（职工村）拆迁安置房项目,建阳镇职工村一组,,划拨,,0,,2018,2018年3月,2018年3月7日,14706,1.001.50,1,1.5,,建湖县建阳镇人民政府,,,,,,,,,,,,,,2018年7月6日,2020年7月5日
2431,经济适用住房用地,盐城市,建湖县,建湖县上冈镇建设环保服务中心新建南沙居委会二组拆迁安置房项目,上冈镇南沙居委会二组,,划拨,,0,,2018,2018年3月,2018年3月7日,42612,1.000.00,1,1,,建湖县上冈镇建设环保服务中心,,,,,,,,,,,,,,2018年7月6日,2020年7月5日
2432,经济适用住房用地,盐城市,建湖县,建湖县上冈镇建设环保服务中心新建拆迁安置房（核心区）项目,上冈镇榆西村五组,,划拨,,0,,2018,2018年3月,2018年3月7日,66548,1.000.00,1,1,,建湖县上冈镇建设环保服务中心,,,,,,,,,,,,,,2018年7月6日,2020年7月5日
2433,经济适用住房用地,盐城市,建湖县,建湖县上冈镇建设环保服务中心新建榆西村（204国道东侧）二期拆迁安置房项目,上冈镇榆西村五组,,划拨,,0,,2018,2018年3月,2018年3月7日,156,1.000.00,1,1,,建湖县上冈镇建设环保服务中心,,,,,,,,,,,,,,2018年7月6日,2020年7月5日
2434,经济适用住房用地,盐城市,建湖县,建湖县上冈镇建设环保服务中心新建拆迁安置房（复兴新村）项目,上冈镇复兴村五组,,划拨,,0,,2018,2018年3月,2018年3月7日,22352,1.000.00,1,1,,建湖县上冈镇建设环保服务中心,,,,,,,,,,,,,,2018年7月6日,2020年7月5日
2435,公路用地,盐城市,盐都区,三沙公路工程项目,盐城市盐都区郭猛镇三湾村一、二，袁邵村三、四、五组，冈中街道办事处民生居委会二、三、四、五组，花吉村一、三、五、六组,,划拨,,0,,2018,2018年3月,2018年3月7日,276501,0.000.00,0,1,,盐城市盐都区交通运输局,,,,,,,,,,,,,,2018年7月7日,2020年7月6日
2436,工业用地,盐城市,亭湖区,日铠电脑配件有限公司,盐城市亭湖区南洋镇盐中村民委员会三组,50,挂牌出让,,651.6542,,2018,2018年3月,2018年3月6日,26598.13,1.001.40,1,1.4,,日铠电脑配件有限公司,,,,,,,,,,,,,,2018年11月6日,2021年11月6日
2437,工业用地,盐城市,大丰市,江苏蓝恩新能源汽车发展有限公司,港区海洋科教城内,50,挂牌出让,,523.35,,2018,2018年3月,2018年3月6日,26838,0.001.20,0,1.2,,江苏蓝恩新能源汽车发展有限公司,,,,,,,,,,,,,,2018年9月8日,2020年9月8日
2438,工业用地,盐城市,东台市,东台市刘成不锈钢制品厂,东台市溱东镇开一村、草舍村,50,挂牌出让,,81.753,,2018,2018年3月,2018年3月5日,4809,0.700.00,0.7,0.7,,东台市刘成不锈钢制品厂,,,,,,,,,,,,,,2018年11月5日,2020年11月5日
2439,工业用地,盐城市,东台市,盐城惠民饲料科技有限公司,唐洋镇安建村二组,35.84,挂牌出让,,121.5144,,2018,2018年3月,2018年3月5日,7233,1.000.00,1,1,,盐城惠民饲料科技有限公司,,,,,,,,,,,,,,2018年11月5日,2019年12月5日
2440,工业用地,盐城市,东台市,江苏常源新材料科技有限公司,唐洋镇心红村一组,50,挂牌出让,,205.377,,2018,2018年3月,2018年3月5日,12081,1.000.00,1,1,,江苏常源新材料科技有限公司,,,,,,,,,,,,,,2018年11月5日,2020年6月5日
2441,科教用地,盐城市,东台市,东台市唐洋镇小学搬迁,唐洋镇安建村,,划拨,,0,,2018,2018年3月,2018年3月5日,54724,0.000.80,0,0.8,,东台市唐洋镇小学,,,,,,,,,,,,,,2018年12月5日,2020年12月5日
2442,工业用地,盐城市,东台市,东台巨鸿机械科技有限公司,三仓镇新元居委会四组,50,挂牌出让,,177.106,,2018,2018年3月,2018年3月5日,10418,0.700.00,0.7,0.7,,东台巨鸿机械科技有限公司,,,,,,,,,,,,,,2018年11月5日,2020年5月5日
2443,工业用地,盐城市,东台市,东台市科杰机动车部件有限公司,三仓镇新元居委会四组,50,挂牌出让,,179.112,,2018,2018年3月,2018年3月5日,10536,0.700.00,0.7,0.7,,东台市科杰机动车部件有限公司,,,,,,,,,,,,,,2018年11月5日,2020年5月5日
2444,工业用地,盐城市,东台市,江苏润银科技有限公司,时堰镇泰东工业园区,50,挂牌出让,,272.9331,,2018,2018年3月,2018年3月5日,15961,0.700.00,0.7,0.7,,东台市润银科技有限公司,,,,,,,,,,,,,,2018年11月5日,2019年11月5日
2445,工业用地,盐城市,东台市,江苏艾莱斯制动部件制造有限公司,富安镇工业园区,50,挂牌出让,,684,,2018,2018年3月,2018年3月5日,40000,0.700.00,0.7,0.7,,江苏艾莱斯制动部件制造有限公司,,,,,,,,,,,,,,2018年11月5日,2020年5月5日
2446,工业用地,盐城市,东台市,东台市天安食品有限公司,三仓镇沙灶村六组,50,挂牌出让,,118.286,,2018,2018年3月,2018年3月5日,6958,0.700.00,0.7,0.7,,东台市天安食品有限公司,,,,,,,,,,,,,,2018年11月5日,2019年5月5日
2447,工业用地,盐城市,东台市,博科丝特工业技术（江苏）有限公司,东台镇西楼村,50,挂牌出让,,522.795,,2018,2018年3月,2018年3月5日,29874,1.000.00,1,1,,博科丝特工业技术（江苏）有限公司,,,,,,,,,,,,,,2018年11月5日,2021年11月5日
2448,工业用地,盐城市,东台市,辛未桂林米粉江苏有限公司,沿海经济区S352省道北侧,50,挂牌出让,,1224.7704,,2018,2018年3月,2018年3月5日,72903,0.801.00,0.8,1,,辛未桂林米粉江苏有限公司,,,,,,,,,,,,,,2018年11月5日,2020年11月5日
2449,中低价位、中小套型普通商品住房用地,盐城市,阜宁县,济南路幼儿园西、长春路小学南地块,阜城街道办事处中岗居委会,商务金融用地40年，中低价位、中小套型普通商品住房用地70年，批发零售用地40年,挂牌出让,,6475,,2018,2018年3月,2018年3月2日,31496.46,1.003.80,1,3.8,,朱玉清,,,,,,,,,,,,,,2018年5月18日,2020年5月18日
2450,公共设施用地,盐城市,滨海县,国网江苏省电力公司盐城供电公司,滨海县天场镇境内,,划拨,,0,,2018,2018年3月,2018年3月2日,3500,0.000.00,0,1,,国网江苏省电力公司盐城供电公司,,,,,,,,,,,,,,2018年5月2日,2019年5月2日
2451,公共设施用地,盐城市,滨海县,国网江苏省电力公司盐城供电公司,滨海县滨海港镇境内,,划拨,,0,,2018,2018年3月,2018年3月2日,3660,0.000.00,0,1,,国网江苏省电力公司盐城供电公司,,,,,,,,,,,,,,2018年5月2日,2019年5月2日
2452,工业用地,盐城市,东台市,江苏倍佳缔安防科技有限公司,头灶镇高新技术园区,50,挂牌出让,,284.4585,,2018,2018年2月,2018年2月28日,16635,0.900.00,0.9,0.9,,江苏倍佳缔安防科技有限公司,,,,,,,,,,,,,,2018年10月28日,2019年10月28日
2453,工业用地,盐城市,大丰市,盐城市大丰区祥发机械厂,西团镇大龙居委会一组,50,挂牌出让,,59.91,,2018,2018年2月,2018年2月28日,3072,0.701.50,0.7,1.5,,盐城市大丰区祥发机械厂,,,,,,,,,,,,,,2018年8月30日,2020年8月30日
2454,工业用地,盐城市,大丰市,江苏恒润新材料科技有限公司,常高区盐城路东侧、南环路北侧,50,挂牌出让,,826.43,,2018,2018年2月,2018年2月28日,42381,0.701.50,0.7,1.5,,江苏恒润新材料科技有限公司,,,,,,,,,,,,,,2018年8月30日,2020年8月30日
2455,工业用地,盐城市,大丰市,盐城市永茂机械科技有限公司,西团镇众心村七组,50,挂牌出让,,46.22,,2018,2018年2月,2018年2月28日,2370,0.701.50,0.7,1.5,,盐城市永茂机械科技有限公司,,,,,,,,,,,,,,2018年8月30日,2020年8月30日
2456,工业用地,盐城市,大丰市,盐城市大丰区华达机械厂,西团镇西团村五组,50,挂牌出让,,49.09,,2018,2018年2月,2018年2月28日,2517,0.701.50,0.7,1.5,,盐城市大丰区华达机械厂,,,,,,,,,,,,,,2018年8月30日,2020年8月30日
2457,工业用地,盐城市,大丰市,大丰市宇丰机械制造有限公司,西团镇大龙居委会二组,50,挂牌出让,,42.32,,2018,2018年2月,2018年2月28日,2170,0.701.50,0.7,1.5,,大丰市宇丰机械制造有限公司,,,,,,,,,,,,,,2018年8月30日,2020年8月30日
2458,经济适用住房用地,盐城市,建湖县,建湖县上冈镇建设环保服务中心新建拆迁安置房（复兴新村）项目,上冈镇复兴村四组,,划拨,,0,,2018,2018年2月,2018年2月28日,26839,1.000.00,1,1,,建湖县上冈镇建设环保服务中心,,,,,,,,,,,,,,2018年6月26日,2020年6月25日
2459,经济适用住房用地,盐城市,建湖县,建湖县上冈镇建设环保服务中心新建南沙居委会四组拆迁安置房项目,上冈镇南沙居委会三组,,划拨,,0,,2018,2018年2月,2018年2月28日,24371,1.000.00,1,1,,建湖县上冈镇建设环保服务中心,,,,,,,,,,,,,,2018年6月28日,2020年6月27日
