编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
116,工业用地,连云港市,海州区,江苏克蒙医疗设备有限公司,海州开发区通灌南路东、烧香河北,30,挂牌,989,,2020,2020年1月,2020年1月3日,5.6796,56796,1,56796,江苏克蒙医疗设备有限公司,,,,,,,,,,,,,,2020年4月30日,2022年4月30日
118,工业用地,连云港市,东海县,年产3000万套合成高分子材料项目,东海县高新区牛桃路北侧湖西路东侧,50,挂牌,340,,2020,2020年1月,2020年1月2日,1.2777,12777,1.2,15332.4,连云港法狮图智能科技有限公司,,,,,,,,,,,,,,2020年5月8日,2022年5月7日
119,工业用地,连云港市,连云区,中科院苏研院创新药物生产基地暨产业化公共平台,开发区大浦路西、汇银路北侧,50,挂牌,3170,,2020,2020年1月,2020年1月2日,13.3157,133157,2,266314,旺山旺水（连云港）制药有限公司,,,,,,,,,,,,,,2020年7月31日,2022年7月30日
120,工业用地,连云港市,连云区,年产100万件高铁设备配件制造项目,开发区东方大道南、临洪路东侧,50,挂牌,2099,,2020,2020年1月,2020年1月2日,8.8167,88167,2,176334,新清环境技术（连云港）有限公司,,,,,,,,,,,,,,2020年7月31日,2022年7月30日
123,工业用地,连云港市,东海县,东海县生活垃圾焚烧发电项目一期工程,东海县双店镇双林路西侧,50,挂牌,1080,,2019,2019年12月,2019年12月30日,5.9977,59977,1.5,89965.5,光大环保能源（东海）有限公司,,,,,,,,,,,,,,2020年2月24日,2021年3月24日
124,仓储用地,连云港市,连云区,丰崇仓储（连云港）有限公司LTC2019-G27#,上合组织（连云港）国际物流园大岛山路北、钱江路西侧,50,挂牌,4314,,2019,2019年12月,2019年12月30日,13.8688,138688,1.2,166425.6,丰崇仓储（连云港）有限公司,,,,,,,,,,,,,,2020年6月23日,2021年6月23日
126,仓储用地,连云港市,连云区,连云港石化产业基地公共罐区一期,连云区陬山路南、复堆河西,30,挂牌,2596,,2019,2019年12月,2019年12月26日,15.7557,157557,0.7,110289.9,连云港石化产业园有限公司,,,,,,,,,,,,,,2020年7月23日,2022年7月22日
127,工业用地,连云港市,连云区,连云港石化产业基地包材配套,连云区环保十路南、节能一路东,30,挂牌,543,,2019,2019年12月,2019年12月26日,3.329,33290,1.1,36619,连云港兴港环保新材料有限公司,,,,,,,,,,,,,,2020年7月23日,2022年7月22日
128,仓储用地,连云港市,连云区,连云港石化产业基地化学品公共保税仓储中心,连云区苏海路南、港前大道以东,30,挂牌,2176,,2019,2019年12月,2019年12月26日,13.4308,134308,0.6,80584.8,连云港石化产业园有限公司,,,,,,,,,,,,,,2020年7月23日,2022年7月22日
129,工业用地,连云港市,东海县,PC装配式建筑产业基地项目,东海开发区淮河路北侧、新二四五省道西侧,50,挂牌,3539,,2019,2019年12月,2019年12月26日,11.4891,114891,1,114891,连云港先至建设科技有限公司,,,,,,,,,,,,,,2020年1月22日,2022年1月22日
