编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
43,商务金融用地,连云港市,连云区,LTC2020-08#,连云区合作路南、港前大道西,40,挂牌,23410,,2020,2020年4月,2020年4月3日,17.3402,173402,2,346804,江苏方洋集团有限公司,,,,,,,,,,,,,,2021年6月27日,2023年6月27日
44,铁路用地,连云港市,灌云县,江苏省新建连云港至盐城铁路连云港段,灌云县境内,,划拨,,,2020,2020年3月,2020年3月30日,115.2413,1152413,1.2,1382895.6,灌云县交通运输局,,,,,,,,,,,,,,2020年3月30日,2021年3月30日
45,工业用地,连云港市,东海县,年产20万套汽车零部件项目,东海县石梁河镇南辰乡横山大道东侧,50,挂牌,445.5,,2020,2020年3月,2020年3月27日,2.1317,21317,0.8,17053.6,连云港钰泰机械有限公司,,,,,,,,,,,,,,2020年4月27日,2022年4月27日
46,工业用地,连云港市,东海县,年产15000吨玻璃钢制品一期项目,东海县石梁河镇南辰乡,50,挂牌,413.2,,2020,2020年3月,2020年3月27日,1.9866,19866,0.8,15892.8,连云港明锦复合材料有限公司,,,,,,,,,,,,,,2020年6月1日,2022年6月1日
47,零售商业用地,连云港市,灌南县,田楼新盘加油加气站地块,田楼新盘加油加气站,40,挂牌,2501.685,,2020,2020年3月,2020年3月20日,0.639,6390,0.5,3195,江苏金路源能源服务有限责任公司,,,,,,,,,,,,,,2020年9月20日,2023年9月20日
48,公路用地,连云港市,灌云县,233国道灌云北环段（204国道至236省道段）工程,灌云县伊山镇境内,,划拨,,,2020,2020年3月,2020年3月19日,35.6031,356031,1.2,427237.2,灌云县交通运输局,,,,,,,,,,,,,,2020年5月13日,2022年5月13日
49,工业用地,连云港市,东海县,年产200吨半导体用石英玻璃制品,东海县幸福南路东侧、晶瑞达石英制品公司南侧,50,挂牌,357,,2020,2020年3月,2020年3月19日,1.3126,13126,1,13126,东海县晶瑞达石英制品有限公司,,,,,,,,,,,,,,2020年6月28日,2022年6月28日
50,公用设施用地,连云港市,连云区,江苏连云港耕耘110千伏输变电工程,东辛农场东米食品公司南、东沂路东,,划拨,,,2020,2020年3月,2020年3月18日,0.36329,3632.9,1,3632.9,国网江苏省电力有限公司连云港供电分公司,,,,,,,,,,,,,,2020年4月30日,2022年4月29日
51,公路用地,连云港市,灌云县,二港公路,灌云县下车镇境内,,划拨,0,,2020,2020年3月,2020年3月18日,17.7299,177299,1.5,265948.5,灌云县下车镇人民政府,,,,,,,,,,,,,,2020年5月13日,2022年5月13日
52,公用设施用地,连云港市,灌云县,伊甸园景区建设工程（二期）,灌云县伊山镇境内,,划拨,,,2020,2020年3月,2020年3月18日,6.6918,66918,1.5,100377,伊山镇人民政府,,,,,,,,,,,,,,2020年5月18日,2022年5月18日
53,城镇住宅用地,连云港市,海州区,LTC2020-01#,海州区海连东路南、郁洲南路西,70年，40年，40年,挂牌,40130,,2020,2020年3月,2020年3月18日,4.0382,40382,2,80764,连云港汇铭置业有限公司,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
54,商务金融用地,连云港市,海州区,LTC2020-02#,海州区秦东门大街北、规划龙山路西,40,挂牌,7740,,2020,2020年3月,2020年3月18日,2.071,20710,1.5,31065,连云港瀛洲地产有限公司,,,,,,,,,,,,,,2021年2月28日,2023年2月28日
55,城镇住宅用地,连云港市,海州区,LTC2020-03#,海州区秦东门大街北、新疃路东,70,挂牌,28620,,2020,2020年3月,2020年3月18日,3.7894,37894,1.8,68209.2,连云港市万象置业有限公司,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
56,工业用地,连云港市,灌南县,牧原农牧东侧地块,新安镇公兴村,30,挂牌,436.64,,2020,2020年3月,2020年3月13日,2.413,24130,1.2,28956,灌南温氏食品有限公司,,,,,,,,,,,,,,2020年9月13日,2022年9月13日
57,工业用地,连云港市,灌南县,太仓路东侧地块,新安镇郝圩村,30,挂牌,1290.2,,2020,2020年3月,2020年3月13日,7.4149,74149,1.2,88978.8,灌南温氏食品有限公司,,,,,,,,,,,,,,2020年9月13日,2022年9月13日
58,城镇村道路用地,连云港市,海州区,海州经济开发区经三路（朐凤路—纬五路）新建工程项目,海州经济开发区北至朐凤路、南至纬五路,,划拨,,,2020,2020年3月,2020年3月9日,7.92884,79288.4,1,79288.4,江苏昊海投资发展集团有限公司,,,,,,,,,,,,,,2020年12月31日,2022年6月30日
59,城镇村道路用地,连云港市,连云区,珠江路与园区铁路专用线交叉工程,上合组织（连云港）国际物流园,,划拨,,,2020,2020年3月,2020年3月9日,5.1093,51093,1,51093,连云区市政管理处,,,,,,,,,,,,,,2020年4月16日,2022年4月15日
60,工业用地,连云港市,连云区,连云港市工投集团地产投资有限公司,开发区盐坨西路北、跃湖路东,40年，40年，50年,挂牌,18400,,2020,2020年3月,2020年3月5日,22.995,229950,2,459900,连云港市工投集团地产投资有限公司,,,,,,,,,,,,,,2021年5月18日,2023年5月17日
61,城镇住宅用地,连云港市,连云区,连云港高科投资发展有限公司,开发区朝阳街道太白路东侧,70,挂牌,5950,,2020,2020年3月,2020年3月5日,3.6628,36628,1.5,54942,连云港高科投资发展有限公司,,,,,,,,,,,,,,2021年2月18日,2024年2月17日
62,教育用地,连云港市,海州区,苍梧新华苑幼儿园,连云港市海州区九龙路北、文苑路西,,划拨,0,,2020,2020年3月,2020年3月4日,0.43123,4312.3,2.8,12074.44,连云港市苍梧房地产开发有限公司,,,,,,,,,,,,,,2020年6月9日,2021年6月8日
63,零售商业用地,连云港市,连云区,栖霞路步行街商业综合体,连云区栖霞路、东园路交叉口东北侧,40年，40年，40年，40年,挂牌,1760,,2020,2020年3月,2020年3月4日,0.3911,3911,1.2,4693.2,连云港海润置业有限公司,,,,,,,,,,,,,,2021年1月3日,2023年1月2日
64,其他商服用地,连云港市,海州区,海州区南北大街2号楼北大街51号底层门面,海州区南北大街2号楼北大街51号底层门面,40,协议,4.1528,,2020,2020年3月,2020年3月2日,0.002619,26.19,1,26.19,李洋,,,,,,,,,,,,,,2020年3月3日,2020年3月4日
