编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
73,医疗卫生用地,连云港市,连云区,连云港市第一人民医院开发区院区项目,开发区昌圩路北侧,,划拨,0,,2020,2020年2月,2020年2月13日,6.5856,65856,2,131712,连云港连云区政府投资工程服务中心,,,,,,,,,,,,,,2020年3月10日,2021年9月9日
76,公用设施用地,连云港市,海州区,新浦工业园网络机房安置项目,新浦经济开发区道浦路东、珠江路南,,划拨,,,2020,2020年1月,2020年1月15日,0.68198,6819.8,1.5,10229.7,江苏省广电有线信息网络股份有限公司连云港分公司,,,,,,,,,,,,,,2020年6月30日,2020年9月30日
77,教育用地,连云港市,海州区,连云港师专一附小扩建教学楼（校安工程）一期项目,师专一附小北、陇海路南,,划拨,,,2020,2020年1月,2020年1月15日,0.46667,4666.7,1.1,5133.37,连云港师范高等专科学校第一附属小学,,,,,,,,,,,,,,2020年12月31日,2021年9月30日
78,机关团体用地,连云港市,海州区,锦屏便民服务中心项目,锦屏镇纬一路北、官河路西,,划拨,,,2020,2020年1月,2020年1月15日,1.4881,14881,1.2,17857.2,江苏海州发展集团有限公司,,,,,,,,,,,,,,2020年12月31日,2022年10月31日
79,零售商业用地,连云港市,海州区,云台山景区环云台山大道北、渔湾排水河西,云台山景区环云台山大道北、渔湾排水河西,50年，40年，40年,挂牌,4560,,2020,2020年1月,2020年1月15日,5.0598,50598,0.8,40478.4,连云港市文化旅游发展集团有限公司,,,,,,,,,,,,,,2020年11月15日,2022年11月15日
81,商务金融用地,连云港市,连云区,连云港云洲无人船研发及产业化项目,连云区连岛白沙海事监管基地东,40年，40年，40年，40年，40年，40年,挂牌,12700,,2020,2020年1月,2020年1月14日,6.1247,61247,1,61247,连云港云海置业有限公司,,,,,,,,,,,,,,2020年12月31日,2022年12月30日
82,商务金融用地,连云港市,连云区,江苏天马供应链有限公司,连云新城盐城路东、广州路南,40,挂牌,1750,,2020,2020年1月,2020年1月14日,1.6629,16629,2,33258,江苏天马供应链有限公司,,,,,,,,,,,,,,2020年11月14日,2022年11月13日
84,机关团体用地,连云港市,连云区,连云港海洋环境监测站建设业务用房项目,连云区平山北路西、瀚海路北,,划拨,,,2020,2020年1月,2020年1月14日,0.13467,1346.7,1.2,1616.04,国家海洋局连云港海洋环境监测站,,,,,,,,,,,,,,2020年7月1日,2022年6月30日
97,零售商业用地,连云港市,灌南县,淮河路北侧地块,淮河路北侧地块,40年，70年,挂牌,16731.36,,2020,2020年1月,2020年1月9日,7.746,77460,2.2,170412,灌南县星晖置业有限公司,,,,,,,,,,,,,,2020年7月9日,2023年7月9日
121,其他商服用地,连云港市,灌云县,江苏筑富实业投资有限公司,东城区东方大道东侧、伊云湖西侧,40,挂牌,67480,,2019,2019年12月,2019年12月31日,14.1035,141035,4.5,634657.5,江苏筑富实业投资有限公司,,,,,,,,,,,,,,2020年9月30日,2023年9月29日
122,其他商服用地,连云港市,灌云县,江苏筑富实业投资有限公司,东城区长安路北侧、204国道东侧,40,挂牌,7840,,2019,2019年12月,2019年12月31日,2.1288,21288,3,63864,江苏筑富实业投资有限公司,,,,,,,,,,,,,,2020年9月30日,2023年9月29日
136,零售商业用地,连云港市,灌云县,中国石化销售股份有限公司江苏连云港石油分公司,临港产业区境内、228国道北侧,40,挂牌,4166,,2019,2019年12月,2019年12月23日,0.7907,7907,0.9,7116.3,中国石化销售股份有限公司江苏连云港石油分公司,,,,,,,,,,,,,,2020年9月23日,2023年9月22日
149,社会福利用地,连云港市,灌南县,田楼镇三兴村保障房,田楼镇三兴村,,划拨,,,2019,2019年11月,2019年11月27日,1.7487,17487,1.2,20984.4,田楼镇人民政府,,,,,,,,,,,,,,2020年5月27日,2022年5月27日
150,社会福利用地,连云港市,灌南县,堆沟港养老院,堆沟港镇,,划拨,,,2019,2019年11月,2019年11月27日,1.2187,12187,1.2,14624.4,灌南县堆沟港镇人民政府,,,,,,,,,,,,,,2020年5月27日,2022年5月27日
