用途,成交日期,成交价格,受让单位
F2公建混合住宅用地、R2二类居住用地,2018-11-26,410000,北京未来科学城置业有限公司、北京城建投资发展股份有限公司和天津北方裕茂企业管理有限公司联合体
R2二类居住用地、A33基础教育用地,2018-11-26,702000,北京中铁诺德房地产开发有限公司
R2二类居住用地,2018-11-26,177000,北京住总房地产开发有限责任公司
F1住宅混合公建用地、A33基础教育用地,2018-11-26,253350,北京华发创盛置业有限公司
R2二类居住用地、A33基础教育用地,2018-11-26,194500,中建一局集团建设发展有限公司
B4综合性商业金融服务业用地、F3其他类多功能用地,2018-11-05,866300,北京北辰实业集团有限责任公司
F2公建混合住宅用地,2018-11-05,265700,广州小米通讯技术有限公司和北京润置商业运营管理有限公司联合体
R2二类居住用地,2018-10-31,483400,中海地产集团有限公司和北京首钢房地产开发有限公司联合体
F1住宅混合公建用地,2018-10-31,234000,北京金地鸿鹄企业管理咨询有限公司和北京首都开发股份有限公司联合体
F1住宅混合公建用地,2018-10-31,264000,北京金地鸿志企业管理咨询有限公司和北京首都开发股份有限公司联合体
R2二类居住用地、B4综合性商业金融服务业用地,2018-10-19,92500,中铁建设集团房地产有限公司
R2二类居住用地,2018-10-19,332000,北京金隅兴大房地产开发有限公司
R2二类居住用地,2018-10-19,370000,天津北方博茂置业有限公司、中铁房地产集团北方有限公司和北京隽成房地产开发有限公司联合体
R2二类居住用地、A33基础教育用地、A8社区综合服务设施用地,2018-09-13,291000,北京中海地产有限公司
R2二类居住用地,2018-09-13,73000,中铁房地产集团创新产业投资有限公司和中铁建设集团房地产有限公司联合体
R2二类居住用地、B4综合性商业金融服务业用地、S4社会停车场用地,2018-09-13,115000,北京首都开发股份有限公司
工业用地,2018-09-03,9152.3279,北京亦庄盛元投资开发有限公司
工业用地,2018-09-03,9938.5557,北京亦庄盛元投资开发有限公司
工业用地,2018-09-03,8961.279945,北京亦庄盛元投资开发有限公司
工业用地,2018-09-03,1444.94328,北京视源创新科技有限公司
R2二类居住用地、A33基础教育用地,2018-08-23,208000,北京喜茂置业有限公司
R2二类居住用地,2018-08-23,172700,北京中海地产有限公司
,2018-07-26,3073.38,中化岩土集团股份有限公司
F3其他类多功能用地,,,
R2二类居住用地,2018-07-04,260000,北京建工地产有限责任公司
R2二类居住用地,2018-07-04,175000,深圳市新威佳辰投资咨询有限公司
F3其他类多功能用地,,,
F81绿隔产业用地、F1住宅混合公建用地、A33基础教育用地,2018-06-22,498000,北京润置商业运营管理有限公司和北京海赋丰业房地产开发有限公司联合体
R2二类居住用地、A33基础教育用地,2018-06-22,685400,中铁置业集团北京有限公司
B4综合性商业金融服务业用地、S41公用停车场用地,2018-06-14,183000,北京智方润科房地产开发有限公司
工业用地,2018-06-07,1302.29154,神州细胞工程有限公司
工业用地,2018-06-07,9038.083626,北京康弘生物医药有限公司
R2二类居住用地、B4综合性商业金融服务业用地,2018-04-20,332000,北京新碧房地产开发有限公司和中铁房地产集团创新产业投资有限公司联合体
B14旅馆用地、U21排水设施用地,,,
B4综合性商业金融服务业用地,2018-02-28,60000,金融街融辰（北京）置业有限公司和北京市京西置地有限责任公司联合体
R2二类居住用地、A33基础教育用地,2018-02-06,91000,北京金科展昊置业有限公司
F1住宅混合公建用地、R2二类居住用地,2018-02-06,165000,中铁置业集团北京有限公司
R2二类居住用地,2018-02-06,157000,北京住总置业有限公司和北京住总房地产开发有限责任公司联合体
