编号,用途,省市,区县,宗地名称,宗地位置,出让年限 ,交易方式,起始价（万元）,成交价格（万元）,溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
2478,工业用地,徐州市,新沂市,新沂市衡信门窗有限公司（年产20樘防火门生产线项目）,草桥路正康路以北、福桥路以西,50,挂牌,,192,,2018,7,2018/7/25,1.3295,1329.5,1.5,,新沂市衡信门窗有限公司,,,,,,,,,,,,,,2019/9/6,2020/9/6
2479,工业用地,徐州市,新沂市,新沂市利源机械有限公司（年产5000台吸沙泵及机械配件加工项目）,草桥镇323省道南侧、金桥路北侧,50,挂牌,,132,,2018,7,2018/7/25,0.9154,915.4,1.2,,新沂市利源机械有限公司,,,,,,,,,,,,,,2019/7/10,2020/7/10
2480,工业用地,徐州市,新沂市,东联新材料江苏有限公司建设年产25万吨水性树脂系列产品项目,纬九路南、经九路西,50,挂牌,,457,,2018,7,2018/7/25,3.1728,3172.8,0.6,,东联新材料江苏有限公司,,,,,,,,,,,,,,2019/7/6,2021/7/6
2481,其他普通商品住房用地,徐州市,贾汪区,徐州市贾汪交通投资发展有限公司,贾汪区督公湖景区内，督公湖西侧,70,挂牌,,11680,,2018,7,2018/7/24,2.5979,2597.9,1.1,,徐州市贾汪交通投资发展有限公司,,,,,,,,,,,,,,2019/7/1,2021/6/30
2482,其他普通商品住房用地,徐州市,沛  县,沛县城市投资开发有限公司建三里河地块,汉城路西侧、新沛路北侧、汉源大道东侧,70,挂牌,,19746,,2018,7,2018/7/24,6.5818,6581.8,2.5,,沛县城市投资开发有限公司,,,,,,,,,,,,,,2018/11/24,2021/11/24
2483,医卫慈善用地,徐州市,沛  县,沛县国泰医院建医养结合综合楼,开发区南环路南侧、国泰医院东侧,50,挂牌,,668,,2018,7,2018/7/24,1.271,1271,3.5,,沛县国泰医院,,,,,,,,,,,,,,2018/11/24,2021/11/24
2484,中低价位、中小套型普通商品住房用地,徐州市,沛  县,南京锐奕企业管理咨询有限公司建世贸沛县那庄项目,汉源大道东侧、张良路北侧、萧何路南侧,70,挂牌,,9600,,2018,7,2018/7/24,3.7644,3764.4,2.5,,南京锐奕企业管理咨询有限公司,,,,,,,,,,,,,,2018/11/24,2021/11/24
2485,中低价位、中小套型普通商品住房用地,徐州市,沛  县,南京锐奕企业管理咨询有限公司建世贸沛县那庄项目,汉源大道东侧、张良路北侧、萧何路南侧,70,挂牌,,13060,,2018,7,2018/7/24,5.1214,5121.4,2.5,,南京锐奕企业管理咨询有限公司,,,,,,,,,,,,,,2018/11/24,2021/11/24
2486,中低价位、中小套型普通商品住房用地,徐州市,沛  县,沛县中金置业投资有限公司建汉祥家园小区,沛县经济开发区南环路北侧、正大火机西侧,70,挂牌,,1265,,2018,7,2018/7/23,0.5621,562.1,2,,沛县中金置业投资有限公司,,,,,,,,,,,,,,2018/9/23,2020/9/23
2487,其他普通商品住房用地,徐州市,沛  县,徐州中金棚户区改造建设有限公司建沛县火车站北地块,沛城街道汉源大道西侧、东风路南侧,70,挂牌,,19678,,2018,7,2018/7/23,6.5592,6559.2,2.5,,徐州中金棚户区改造建设有限公司,,,,,,,,,,,,,,2018/11/23,2021/11/23
2488,其他商服用地,徐州市,沛  县,江苏沛公酒业有限责任公司建综合办公大楼,东风西路南侧、汉润路东侧,40,挂牌,,4357,,2018,7,2018/7/23,2.464,2464,3,,江苏沛公酒业有限责任公司,,,,,,,,,,,,,,2018/11/23,2021/11/23
2489,公共设施用地,徐州市,邳州市,搬迁工程铁路专用线  邳州市润城港务有限公司,赵墩镇境内,50,挂牌,,915.96,,2018,7,2018/7/23,5.08874,5088.74,0.1,,邳州市润城港务有限公司,,,,,,,,,,,,,,2018/9/10,2020/9/10
2490,公共设施用地,徐州市,邳州市,搬迁工程铁路专用线  邳州市润城港务有限公司,赵墩镇境内,50,挂牌,,3816,,2018,7,2018/7/23,21.20021,21200.21,0.1,,邳州市润城港务有限公司,,,,,,,,,,,,,,2018/9/10,2020/9/10
2491,公共设施用地,徐州市,邳州市,搬迁工程铁路专用线  邳州市润城港务有限公司,赵墩镇境内,50,挂牌,,1137.84,,2018,7,2018/7/23,6.32138,6321.38,0.1,,邳州市润城港务有限公司,,,,,,,,,,,,,,2018/9/10,2020/9/10
2492,公共设施用地,徐州市,邳州市,搬迁工程铁路专用线  邳州市润城港务有限公司,赵墩镇境内,50,挂牌,,1125.96,,2018,7,2018/7/23,6.25505,6255.05,0.1,,邳州市润城港务有限公司,,,,,,,,,,,,,,2018/9/10,2020/9/10
2493,公共设施用地,徐州市,邳州市,搬迁工程铁路专用线  邳州市润城港务有限公司,赵墩镇境内,50,挂牌,,9.96,,2018,7,2018/7/23,0.05526,55.26,0.1,,邳州市润城港务有限公司,,,,,,,,,,,,,,2018/9/10,2020/9/10
2494,公共设施用地,徐州市,邳州市,搬迁工程铁路专用线  邳州市润城港务有限公司,赵墩镇境内,50,挂牌,,165.6,,2018,7,2018/7/23,0.91979,919.79,0.1,,邳州市润城港务有限公司,,,,,,,,,,,,,,2018/9/10,2020/9/10
2495,公共设施用地,徐州市,邳州市,搬迁工程铁路专用线  邳州市润城港务有限公司,赵墩镇境内,50,挂牌,,46.2,,2018,7,2018/7/23,0.25677,256.77,0.1,,邳州市润城港务有限公司,,,,,,,,,,,,,,2018/9/10,2020/9/10
2496,其他商服用地,徐州市,沛  县,沛县房屋综合开发总公司建汉源·邻里中心,夕阳红公寓东侧、汉源中学北侧,40,挂牌,,2758,,2018,7,2018/7/23,1.0214,1021.4,4.5,,沛县房屋综合开发总公司,,,,,,,,,,,,,,2018/11/23,2021/11/23
2497,其他普通商品住房用地,徐州市,沛  县,沛县中金置业投资有限公司建孙洼大沟北汉风水苑小区,开发区徐沛运河西侧、孙洼大沟北侧,70,挂牌,,1121,,2018,7,2018/7/23,0.9341,934.1,1.6,,沛县中金置业投资有限公司,,,,,,,,,,,,,,2018/9/23,2019/9/23
2498,商务金融用地,徐州市,鼓楼区,徐州新源置业发展有限公司苏堤北路西商务金融项目,二环北路南，苏堤北路西,40,挂牌,,6670,,2018,7,2018/7/20,1.01067,1010.67,3.5,,徐州新源置业发展有限公司,,,,,,,,,,,,,,2019/7/20,2021/7/20
2499,其他普通商品住房用地,徐州市,邳州市,石膏矿区安居工程 邳州市润城资产经营集团有限公司,邳州市四户镇(石膏矿区安居工程2）,70,挂牌,,2338.2,,2018,7,2018/7/19,5.19574,5195.74,1.5,,邳州市润城资产经营集团有限公司,,,,,,,,,,,,,,2018/9/1,2020/9/1
2500,其他普通商品住房用地,徐州市,贾汪区,徐州市贾汪区亿睿房地产开发有限公司,贾汪区中旺路南侧，206国道东侧,70,挂牌,,11388,,2018,7,2018/7/18,10.8458,10845.8,2.8,,徐州市贾汪区亿睿房地产开发有限公司,,,,,,,,,,,,,,2019/7/1,2021/6/30
2501,工业用地,徐州市,丰  县,丰县经济开发区投资发展有限责任公司(智能终端园2018-G13）,创新路东，北苑路北侧,50,挂牌,,3659,,2018,7,2018/7/18,22.97261,22972.61,1,,丰县经济开发区投资发展有限责任公司,,,,,,,,,,,,,,2019/4/18,2020/4/17
2502,工业用地,徐州市,丰  县,丰县经济开发区投资发展有限责任公司(丰县机械制造园2018-G16）,创新路西，北苑路南侧,50,挂牌,,341,,2018,7,2018/7/18,2.13463,2134.63,1,,丰县经济开发区投资发展有限责任公司,,,,,,,,,,,,,,2019/4/18,2020/10/17
2503,其他商服用地,徐州市,贾汪区,徐州市贾汪区亿睿房地产开发有限公司,贾汪区中旺路北侧，206国道东侧,40,挂牌,,8074,,2018,7,2018/7/18,7.6898,7689.8,2.8,,徐州市贾汪区亿睿房地产开发有限公司,,,,,,,,,,,,,,2019/7/1,2021/6/30
2504,工业用地,徐州市,丰  县,丰县经济开发区投资发展有限责任公司(丰县机械制造园2018-G14）,东升路东，解放大道北侧,50,挂牌,,3074,,2018,7,2018/7/18,19.29794,19297.94,1,,丰县经济开发区投资发展有限责任公司,,,,,,,,,,,,,,2019/4/18,2020/4/17
2505,中低价位、中小套型普通商品住房用地,徐州市,丰  县,丰县名仕房地产开发有限公司（华山经东四路西）,华山镇华强路北，经东四路西,65,挂牌,,543,,2018,7,2018/7/18,0.59833,598.33,1.6,,丰县名仕房产开发有限公司,,,,,,,,,,,,,,2019/4/18,2021/10/17
2506,批发零售用地,徐州市,丰  县,丰县瑞中电动车业有限公司(加油站2018-12),顺河镇S254省道东，青年路南,39,挂牌,,47,,2018,7,2018/7/18,0.07649,76.49,0.5,,丰县瑞中电动车业有限公司,,,,,,,,,,,,,,2019/1/18,2019/11/17
2507,工业用地,徐州市,丰  县,徐州天嘉食用化工有限公司,纬一路北，东城路西,50,挂牌,,941,,2018,7,2018/7/18,5.89825,5898.25,0.7,,徐州天嘉食用化工有限公司,,,,,,,,,,,,,,2019/4/18,2020/4/17
2508,其他普通商品住房用地,徐州市,贾汪区,徐州市贾汪区亿睿房地产开发有限公司,贾汪区中旺路南侧，206国道东侧,70,挂牌,,6036,,2018,7,2018/7/18,5.7488,5748.8,2.8,,徐州市贾汪区亿睿房地产开发有限公司,,,,,,,,,,,,,,2019/7/1,2021/6/30
2509,中低价位、中小套型普通商品住房用地,徐州市,睢宁县,徐州绿瑞置业有限公司建住宅用地,双沟镇104国道北、新华东路南,68,挂牌,,1485,,2018,7,2018/7/17,1.978682,1978.682,1.6,,徐州绿瑞置业有限公司,,,,,,,,,,,,,,2019/4/17,2021/4/17
2510,其他商服用地,徐州市,睢宁县,江苏润企万国实业有限公司建商服用地,云河北、法院东,40,挂牌,,11920,,2018,7,2018/7/17,4.803378,4803.378,3,,江苏润企万国实业有限公司,,,,,,,,,,,,,,2019/1/17,2022/1/17
2511,工业用地,徐州市,睢宁县,睢宁鑫钢诚金属材料有限公司建工业用地,北环路南、港华燃气西,30,挂牌,,342,,2018,7,2018/7/16,2.278877,2278.877,1.5,,睢宁鑫钢诚金属材料有限公司,,,,,,,,,,,,,,2018/8/16,2019/4/16
2512,其他普通商品住房用地,徐州市,泉山区,徐州正升置业发展有限公司(徐州正铭置业发展有限公司)黄河南路南城镇住宅项目,黄河南路南，矿山东路西，健康路北,70,挂牌,,92900,,2018,7,2018/7/16,4.5351,4535.1,2.2,,徐州正升置业发展有限公司,,,,,,,,,,,,,,2019/7/16,2021/7/16
2513,工业用地,徐州市,睢宁县,徐州中云木业有限公司建工业用地,北环路南、睢梁河东段北,30,挂牌,,233,,2018,7,2018/7/16,1.548806,1548.806,1.5,,徐州中云木业有限公司,,,,,,,,,,,,,,2018/8/16,2019/4/16
2514,其他普通商品住房用地,徐州市,贾汪区,中钰置业（徐州）有限公司,贾汪区贾青路北侧，经十四路西侧,70,挂牌,,8985,,2018,7,2018/7/13,7.4863,7486.3,3.5,,中钰置业（徐州）有限公司,,,,,,,,,,,,,,2019/7/1,2021/6/30
2515,工业用地,徐州市,新沂市,马陵山镇富民产业孵化园,马陵山镇249省道以东，刘庄路以北,50,挂牌,,377,,2018,7,2018/7/13,2.6139,2613.9,1.2,,徐州兴明工贸有限公司,,,,,,,,,,,,,,2019/7/6,2021/7/6
2516,工业用地,徐州市,睢宁县,徐州华晟蚕丝制品有限公司建工业用地,环宇大道北、规划德法路西,30,挂牌,,243,,2018,7,2018/7/13,1.61392,1613.92,1.5,,徐州华晟蚕丝制品有限公司,,,,,,,,,,,,,,2018/8/13,2019/5/13
2517,其他普通商品住房用地,徐州市,贾汪区,中钰置业（徐州）有限公司,贾汪区新华路南侧，文泽园小区东侧,70,挂牌,,7012,,2018,7,2018/7/13,2.3374,2337.4,3,,中钰置业（徐州）有限公司,,,,,,,,,,,,,,2019/7/1,2021/6/30
2518,批发零售用地,徐州市,睢宁县,中国石化销售有限公司江苏徐州石油分公司建商业（加气、充电站）用地,西渭河东、徐淮路北,40,挂牌,,1095,,2018,7,2018/7/12,0.35347,353.47,0.7,,中国石化销售有限公司江苏徐州石油分公司,,,,,,,,,,,,,,2019/4/12,2020/4/12
2519,港口码头用地,徐州市,睢宁县,江苏润水建设工程有限公司建港口码头用地,魏集镇徐洪河西、古黄河北,50,挂牌,,2970,,2018,7,2018/7/12,5.328494,5328.494,1.5,,江苏润水建设工程有限公司,,,,,,,,,,,,,,2019/4/12,2021/4/12
2520,公园与绿地,徐州市,沛  县,徐州东方运销实业集团有限公司建抑尘防风林,大屯街道东原港北侧,50,挂牌,,31,,2018,7,2018/7/12,0.2514,251.4,1,,徐州东方运销实业集团有限公司,,,,,,,,,,,,,,2018/9/12,2019/9/12
2521,中低价位、中小套型普通商品住房用地,徐州市,沛  县,江苏汉达房地产开发有限公司建天下河城项目,河口镇文明路西侧、人民路南侧,70,挂牌,,256,,2018,7,2018/7/12,1.0618,1061.8,2,,江苏汉达房地产开发有限公司,,,,,,,,,,,,,,2018/9/12,2019/9/12
2522,公园与绿地,徐州市,沛  县,徐州东方运销实业集团有限公司建抑尘防风林,大屯街道东原港南侧,50,挂牌,,109,,2018,7,2018/7/12,0.554,554,1,,徐州东方运销实业集团有限公司,,,,,,,,,,,,,,2018/9/12,2019/9/12
2523,工业用地,徐州市,沛  县,江苏玉宇纺织有限公司建设纺织生产线项目,杨屯镇北辰大道南侧、昭阳大道北侧、二号路东侧,50,挂牌,,127,,2018,7,2018/7/11,1.0507,1050.7,1,,江苏玉宇纺织有限公司,,,,,,,,,,,,,,2019/1/11,2020/1/11
2524,工业用地,徐州市,睢宁县,江苏众友兴和菌业科技有限公司建工业用地,官山镇腾龙路南、跃进河北,45,挂牌,,2165,,2018,7,2018/7/11,14.413918,14413.918,2,,江苏众友兴和菌业科技有限公司,,,,,,,,,,,,,,2018/8/11,2019/5/11
2525,工业用地,徐州市,睢宁县,徐州龙英织造有限公司建工业用地,兴业路北、江阴路西,30,挂牌,,2640,,2018,7,2018/7/11,17.58803,17588.03,,,徐州龙英织造有限公司,,,,,,,,,,,,,,2018/8/11,2019/1/11
2526,中低价位、中小套型普通商品住房用地,徐州市,睢宁县,睢宁金以德房地产开发有限公司建商住用地,花径西、北环路南,70,挂牌,,19520,,2018,7,2018/7/10,4.642638,4642.638,1.6,,睢宁金以德房地产开发有限公司,,,,,,,,,,,,,,2019/1/10,2022/1/10
2527,中低价位、中小套型普通商品住房用地,徐州市,睢宁县,睢宁金以德房地产开发有限公司建住宅用地,花径西、北环路南,70,挂牌,,9990,,2018,7,2018/7/10,4.454754,4454.754,1.6,,睢宁金以德房地产开发有限公司,,,,,,,,,,,,,,2019/1/10,2022/1/10
2528,工业用地,徐州市,铜山区,徐州百草健康科技有限公司,万达路南、泰中路东,40,挂牌,,870,,2018,7,2018/7/10,1.728,1728,1,,徐州百草健康科技有限公司,,,,,,,,,,,,,,2019/2/10,2022/2/10
2529,工业用地,徐州市,铜山区,江苏康盛农业发展有限公司,长安路西、德安路北,40,挂牌,,1531,,2018,7,2018/7/10,4.435951,4435.951,1,,江苏康盛农业发展有限公司,,,,,,,,,,,,,,2019/2/10,2022/2/10
2530,工业用地,徐州市,睢宁县,江苏久祥汽车电器集团有限公司建工业用地,庆安镇官二村251省道东,48,挂牌,,199,,2018,7,2018/7/10,1.325744,1325.744,2,,江苏久祥汽车电器集团有限公司,,,,,,,,,,,,,,2018/8/10,2019/5/10
2531,工业用地,徐州市,睢宁县,江苏祥和电子科技有限公司建工业用地,庆安镇官二村251省道东,48,挂牌,,134,,2018,7,2018/7/10,0.890087,890.087,2,,江苏祥和电子科技有限公司,,,,,,,,,,,,,,2018/8/10,2019/5/10
2532,工业用地,徐州市,贾汪区,江苏金谷智能科技有限公司,徐州工业园区，鹏城大道南侧，升级路西侧,50,挂牌,,284,,2018,7,2018/7/9,1.4016,1401.6,1,,江苏金谷智能科技有限公司,,,,,,,,,,,,,,2019/7/1,2021/6/30
2533,工业用地,徐州市,沛  县,沛县新农农村建设有限公司建设沈阳机床·淮海经济区5D智能智造谷,沛县经济开发区沛公路北侧、福斯特光电西侧,50,挂牌,,1417,,2018,7,2018/7/9,6.6667,6666.7,1.5,,沛县新农农村建设有限公司,,,,,,,,,,,,,,2019/1/9,2020/1/9
2534,工业用地,徐州市,睢宁县,江苏智荟生物科技有限公司建工业用地,开发区前进路北、九旭大道西,48,挂牌,,68,,2018,7,2018/7/6,0.450271,450.271,2,,江苏智荟生物科技有限公司,,,,,,,,,,,,,,2018/8/6,2019/5/6
2535,工业用地,徐州市,睢宁县,江苏鸿福生物科技发展有限公司建工业用地,姚集镇姚魏路北、镇政府东,30,挂牌,,561,,2018,7,2018/7/6,3.73475,3734.75,2,,江苏鸿福生物科技发展有限公司,,,,,,,,,,,,,,2018/8/6,2019/5/6
2536,工业用地,徐州市,睢宁县,江苏开启牧业有限公司建工业用地,官山镇104国道北、白马河西,45,挂牌,,252,,2018,7,2018/7/6,1.678888,1678.888,2,,江苏开启牧业有限公司,,,,,,,,,,,,,,2018/8/6,2019/5/6
2537,中低价位、中小套型普通商品住房用地,徐州市,睢宁县,徐州力通置业有限公司建商住用地,经济开发区幸福路南、阜盛路西,70,挂牌,,11870,,2018,7,2018/7/5,3.905359,3905.359,2,,徐州力通置业有限公司,,,,,,,,,,,,,,2019/1/5,2022/1/5
2538,工业用地,徐州市,睢宁县,江苏巨电新能源股份有限公司建工业用地,双沟镇双塔路西、临空大道北,30,挂牌,,2290,,2018,7,2018/7/5,15.255615,15255.615,2,,江苏巨电新能源股份有限公司,,,,,,,,,,,,,,2018/10/5,2020/10/5
2539,其他普通商品住房用地,徐州市,鼓楼区,徐州新腾置业有限公司白云东路南侧定销房,白云东路南侧,70,挂牌,,7560,,2018,7,2018/7/5,4.20431,4204.31,2.7,,徐州新腾置业有限公司,,,,,,,,,,,,,,2019/2/5,2021/8/5
2540,中低价位、中小套型普通商品住房用地,徐州市,贾汪区,徐州市展尚置业有限公司,贾汪区超越路南侧,70,挂牌,,3834,,2018,7,2018/7/5,3.6504,3650.4,2,,徐州市展尚置业有限公司,,,,,,,,,,,,,,2019/7/1,2021/6/30
2541,中低价位、中小套型普通商品住房用地,徐州市,贾汪区,徐州金工匠房地产开发有限公司,贾汪区鹏城大道北侧，徐轮路东侧,70,挂牌,,9996,,2018,7,2018/7/4,8.3293,8329.3,2.2,,徐州金工匠房地产开发有限公司,,,,,,,,,,,,,,2019/7/1,2021/6/30
2542,中低价位、中小套型普通商品住房用地,徐州市,贾汪区,徐州金工匠房地产开发有限公司,贾汪区鹏城大道北侧，徐轮路东侧,70,挂牌,,14584,,2018,7,2018/7/4,12.1524,12152.4,2.2,,徐州金工匠房地产开发有限公司,,,,,,,,,,,,,,2019/7/1,2021/6/30
2543,中低价位、中小套型普通商品住房用地,徐州市,睢宁县,徐州绿瑞置业有限公司建住宅用地,双沟镇接碱河北、机场路南,70,挂牌,,2050,,2018,7,2018/7/4,2.669766,2669.766,1.6,,江苏双溪实业有限公司,,,,,,,,,,,,,,2019/4/4,2020/4/4
2544,工业用地,徐州市,睢宁县,睢宁同创再生资源有限公司建工业用地,桃园镇朱官路西、徐沙河西支流北,30,挂牌,,391,,2018,7,2018/7/4,2.604343,2604.343,2,,睢宁同创再生资源有限公司,,,,,,,,,,,,,,2018/8/4,2019/4/4
2545,工业用地,徐州市,睢宁县,徐州市盈鑫厨房电器科技有限公司建工业用地,东环路东、徐淮路南,45,挂牌,,439,,2018,7,2018/7/3,2.923631,2923.631,1.5,,徐州市盈鑫厨房电器科技有限公司,,,,,,,,,,,,,,2018/8/3,2019/4/3
2546,医卫慈善用地,徐州市,徐州经济开发区,江苏亚昕投资有限公司杨山路以南医卫慈善用地,杨山路以南,50,挂牌,,2450,,2018,7,2018/7/2,2.32981,2329.81,4.3,,江苏亚昕投资有限公司,,,,,,,,,,,,,,2019/7/2,2020/7/2
2547,医卫慈善用地,徐州市,铜山区,江苏吴孟超肿瘤医院有限公司,铜山办事处桥上村、葛楼村,50,挂牌,,2381,,2018,6,2018/6/29,3.3765,3376.5,3.5,,江苏吴孟超肿瘤医院有限公司,,,,,,,,,,,,,,2019/1/29,2022/1/28
2548,其他商服用地,徐州市,新沂市,新沂市德泰行商贸有限公司（商服）,窑湾镇古镇大道以西，人民路以南,40,挂牌,,190,,2018,6,2018/6/29,0.2292,229.2,1.4,,新沂市德泰行商贸有限公司,,,,,,,,,,,,,,2019/6/26,2021/6/26
2549,文体娱乐用地,徐州市,铜山区,徐州泰鑫文化发展有限公司,大学路东、独龙路南,50,挂牌,,2611,,2018,6,2018/6/29,8.7013,8701.3,0.8,,徐州泰鑫文化发展有限公司,,,,,,,,,,,,,,2019/1/29,2022/1/28
2550,工业用地,徐州市,铜山区,徐州万达回转支承有限公司,铜山区尚城路南、富浩路东,40,挂牌,,3484,,2018,6,2018/6/29,7.86666,7866.66,1,,徐州万达回转支承有限公司,,,,,,,,,,,,,,2019/1/29,2022/1/28
2551,其他普通商品住房用地,徐州市,铜山区,徐州沪彭丰源商业管理有限公司,经纬路东、北横四路北,70,挂牌,,1058,,2018,6,2018/6/29,0.235039,235.039,3.2,,徐州沪彭丰源商业管理有限公司,,,,,,,,,,,,,,2019/1/29,2022/1/28
2552,商务金融用地,徐州市,铜山区,徐州高新技术产业开发区国有资产经营有限公司,珠江路北、经纬路西,40,挂牌,,3793,,2018,6,2018/6/29,1.68534,1685.34,3,,徐州高新技术产业开发区国有资产经营有限公司,,,,,,,,,,,,,,2019/1/29,2022/1/28
2553,科教用地,徐州市,铜山区,徐州高新技术产业开发区国有资产经营有限公司,高新区经纬路东、奎河西,50,挂牌,,2170,,2018,6,2018/6/29,3.91657,3916.57,1.6,,徐州高新技术产业开发区国有资产经营有限公司,,,,,,,,,,,,,,2019/1/29,2022/1/28
2554,工业用地,徐州市,铜山区,徐州高新技术产业开发区国有资产经营有限公司,珠江路南、经纬路西,40,挂牌,,2481,,2018,6,2018/6/29,6.3598,6359.8,1,,徐州高新技术产业开发区国有资产经营有限公司,,,,,,,,,,,,,,2019/1/29,2022/1/28
2555,公共设施用地,徐州市,铜山区,铜山港华燃气有限公司,长安路西、连霍高速南,50,挂牌,,955,,2018,6,2018/6/29,1.98864,1988.64,0.5,,铜山港华燃气有限公司,,,,,,,,,,,,,,2019/1/29,2022/1/28
2556,公共设施用地,徐州市,铜山区,铜山港华燃气有限公司,铜山区大学路东、连霍高速南,50,挂牌,,783,,2018,6,2018/6/29,1.6305,1630.5,0.5,,铜山港华燃气有限公司,,,,,,,,,,,,,,2019/1/29,2022/1/28
2557,工业用地,徐州市,铜山区,徐州恒博工程机械制造有限公司,铜山区富民路东、运河路北,40,挂牌,,970,,2018,6,2018/6/29,3.59091,3590.91,1,,徐州恒博工程机械制造有限公司,,,,,,,,,,,,,,2019/1/29,2022/1/28
2558,住宿餐饮用地,徐州市,睢宁县,徐州绿瑞置业有限公司建商业（五星级酒店）用地,双沟镇接碱河以北、双塔路以东,40,挂牌,,1242,,2018,6,2018/6/29,4.153756,4153.756,1.5,,徐州绿瑞置业有限公司,,,,,,,,,,,,,,2019/3/29,2021/3/29
2559,工业用地,徐州市,铜山区,江苏永安置业有限公司,银山路东侧、漓江路南侧,40,挂牌,,2326,,2018,6,2018/6/29,4.305618,4305.618,1,,江苏永安置业有限公司,,,,,,,,,,,,,,2019/1/29,2022/1/28
2560,公共设施用地,徐州市,铜山区,徐州久盛燃气有限公司,铜山区柳新镇马楼村,50,挂牌,,420,,2018,6,2018/6/29,1.0862,1086.2,0.5,,徐州久盛燃气有限公司,,,,,,,,,,,,,,2019/1/29,2022/1/28
2561,工业用地,徐州市,新沂市,唐店街道众创产业园（标准厂房）,唐店街道经四路以东，纬六路以北,50,挂牌,,349,,2018,6,2018/6/28,2.4236,2423.6,1.5,,新沂市城市投资发展有限公司,,,,,,,,,,,,,,2019/6/22,2021/6/22
2562,工业用地,徐州市,铜山区,徐工消防安全装备有限公司,珠江路北、伟拓路西,40,挂牌,,10055,,2018,6,2018/6/28,21.9663,21966.3,1,,徐工消防安全装备有限公司,,,,,,,,,,,,,,2019/1/28,2022/1/27
2563,工业用地,徐州市,铜山区,江苏图兹智能家居有限公司,棠张镇夏湖村,40,挂牌,,902,,2018,6,2018/6/28,4.0061,4006.1,1,,江苏图兹智能家居有限公司,,,,,,,,,,,,,,2019/1/28,2022/1/27
2564,工业用地,徐州市,铜山区,徐州曙光通信科技有限公司,牛山路东、京沪铁路西,40,挂牌,,448,,2018,6,2018/6/28,0.496974,496.974,1,,徐州曙光通信科技有限公司,,,,,,,,,,,,,,2019/1/28,2022/1/27
2565,工业用地,徐州市,贾汪区,江苏弘仁住宅工业科技发展有限公司,徐州工业园区，南纬二路南侧，新西排洪道西侧，屯头河北侧,50,挂牌,,2054,,2018,6,2018/6/26,10.1655,10165.5,1,,江苏弘仁住宅工业科技发展有限公司,,,,,,,,,,,,,,2019/6/1,2021/5/31
2566,工业用地,徐州市,贾汪区,江苏众成铝业科技有限公司,"徐州工业园区,徐轮路以西",50,挂牌,,940,,2018,6,2018/6/26,4.6335,4633.5,1,,江苏众成铝业科技有限公司,,,,,,,,,,,,,,2019/6/1,2021/5/31
2567,中低价位、中小套型普通商品住房用地,徐州市,睢宁县,徐州祥宁置业有限公司建住宅用地,北环路南、睢河北路东宗地一,70,挂牌,,22260,,2018,6,2018/6/26,4.736015,4736.015,1.6,,徐州祥宁置业有限公司,,,,,,,,,,,,,,2018/12/26,2021/12/26
2568,中低价位、中小套型普通商品住房用地,徐州市,睢宁县,徐州耀辉房地产开发有限公司建商住科教用地,北环路南、睢河北路东宗地二,70,挂牌,,23010,,2018,6,2018/6/25,5.021216,5021.216,1.6,,徐州耀辉房地产开发有限公司,,,,,,,,,,,,,,2018/12/25,2021/12/25
2569,工业用地,徐州市,新沂市,创新创业产业园建设项目（比斯特服装）,阿湖镇新沂市永基微晶玻璃制品科技有限公司以北、311国道以西,50,挂牌,,289,,2018,6,2018/6/20,2.0067,2006.7,1.5,,新沂市比思特服装有限公司,,,,,,,,,,,,,,2019/6/10,2021/6/10
2570,,徐州市,徐州经济开发区,徐州经济技术开发区金港路南侧工业项目,金港路南侧,40,挂牌,,1006,,2018,6,2018/6/19,5.9868,5986.8,1,,徐州协鑫云仓物流科技发展有限公司,,,,,,,,,,,,,,2019/6/19,2020/6/19
2571,工业用地,徐州市,徐州经济开发区,徐州经济技术开发区荆马引河东工业项目,荆马引河东侧,40,挂牌,,563,,2018,6,2018/6/19,3.35042,3350.42,1,,江苏铭桂新材料科技有限公司,,,,,,,,,,,,,,2019/6/19,2020/6/19
2572,工业用地,徐州市,新沂市,新沂市固体废物填埋项目（光大环保）,新安街道光大环保固废处置（新沂）有限公司西侧,50,挂牌,,500,,2018,6,2018/6/18,3.4681,3468.1,1,,光大绿色环保固体废物填埋（新沂）有限公司,,,,,,,,,,,,,,2019/6/12,2021/6/12
2573,工业用地,徐州市,沛  县,江苏汉庭庄园生态农业有限公司,沛县鹿楼镇兴工北路西侧、天师路南侧、丰沛路北侧,50,挂牌,,117,,2018,6,2018/6/12,0.5978,597.8,0.8,,江苏汉庭庄园生态农业有限公司,,,,,,,,,,,,,,2018/8/12,2019/8/12
2574,其他普通商品住房用地,徐州市,泉山区,江苏星垠房地产开发有限公司煤建路南纺织路西住宅项目,煤建路南，纺织路西,70,挂牌,,9900,,2018,6,2018/6/12,0.8983,898.3,2.7,,江苏星垠房地产开发有限公司,,,,,,,,,,,,,,2019/6/12,2020/12/12
