编号,用途,省市,区县,宗地名称,宗地位置,出让年限 ,交易方式,起始价（万元）,成交价格（万元）,溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
56,,徐州市,沛  县,龙固镇采煤塌陷地再利用项目,龙固镇镇东居委会，杨屯镇卞庄村、刘官屯村,,划拨,,,,2019,2,2019/2/19,68.8755,68875.5,,,沛县兴田农村土地整理有限责任公司,,,,,,,,,,,,,,2019/4/19,2020/4/19
57,,徐州市,沛  县,龙固镇采煤塌陷地再利用项目,龙固镇镇东居委会，杨屯镇卞庄村、刘官屯村,,划拨,,,,2019,2,2019/2/19,65.1328,65132.8,,,沛县兴田农村土地整理有限责任公司,,,,,,,,,,,,,,2019/4/19,2020/4/19
58,公共设施用地,徐州市,铜山区,徐州郑集水厂工程,郑集镇郑集村,,划拨,,,,2018,12,2018/12/27,5.4701,5470.1,,,徐州市新水国有资产经营有限责任公司,,,,,,,,,,,,,,2019/6/27,2022/6/27
59,公共设施用地,徐州市,铜山区,徐州市王窑河综合治理工程（火花闸以下）强排闸站建设项目,汉王镇马山村,,划拨,,,,2018,12,2018/12/27,0.6568,656.8,1,,徐州市水务局,,,,,,,,,,,,,,2019/6/27,2022/6/27
60,经济适用住房用地,徐州市,铜山区,徐州市空军机场迁建安置项目,大许镇,,划拨,,,,2018,12,2018/12/27,38.4695,38469.5,1.5,,徐州空军机场迁建办公室,,,,,,,,,,,,,,2019/6/27,2022/6/27
61,铁路用地,徐州市,铜山区,江苏省新建连云港至徐州铁路（徐州段）,铜山区张集镇、房村镇,,划拨,,,,2018,12,2018/12/27,66.3872,66387.2,,,上海铁路局,,,,,,,,,,,,,,2019/6/27,2022/6/27
62,医卫慈善用地,徐州市,丰  县,范楼镇医院扩建,范楼镇范楼村,,划拨,,,,2018,12,2018/12/12,0.1739,173.9,1,,丰县范楼镇卫生院,,,,,,,,,,,,,,2019/2/12,2020/2/11
63,医卫慈善用地,徐州市,丰  县,常店镇康复医院,常店镇常店村,,划拨,,,,2018,12,2018/12/12,0.176508,176.508,1,,丰县常店镇卫生院,,,,,,,,,,,,,,2019/2/12,2020/2/11
64,科教用地,徐州市,丰  县,孙楼街道中心小学,孙楼街道孙楼村,,划拨,,,,2018,12,2018/12/12,1.744383,1744.383,1,,丰县孙楼街道办事处中心学校,,,,,,,,,,,,,,2019/2/12,2020/2/11
65,公共设施用地,徐州市,丰  县,孙楼垃圾中转站,孙楼街道孙楼村,,划拨,,,,2018,12,2018/12/12,0.183203,183.203,1,,丰县孙楼街道办事处,,,,,,,,,,,,,,2019/2/12,2020/2/11
66,科教用地,徐州市,丰  县,师寨镇古庙幼儿园,师寨镇古庙村,,划拨,,,,2018,12,2018/12/12,0.230049,230.049,1,,丰县师寨镇中心学校,,,,,,,,,,,,,,2019/2/12,2020/2/11
67,医卫慈善用地,徐州市,丰  县,常庄老年养护院,欢口镇常庄村,,划拨,,,,2018,12,2018/12/12,0.188232,188.232,1,,丰县欢口镇人民政府,,,,,,,,,,,,,,2019/2/12,2020/2/11
68,文体娱乐用地,徐州市,丰  县,范楼镇老年活动中心,范楼镇范楼村,,划拨,,,,2018,12,2018/12/12,0.275571,275.571,1,,丰县范楼镇人民政府,,,,,,,,,,,,,,2019/2/12,2020/2/11
69,科教用地,徐州市,丰  县,范楼镇京庄幼儿园,范楼镇京庄村,,划拨,,,,2018,12,2018/12/12,0.180581,180.581,1,,丰县范楼镇中心学校,,,,,,,,,,,,,,2019/2/12,2020/2/11
70,,徐州市,丰  县,粮食储备仓库,凤城街道龙雾桥社区,,划拨,,,,2018,12,2018/12/12,0.582659,582.659,1,,中央储备粮徐州直属库,,,,,,,,,,,,,,2019/2/12,2020/2/11
71,公共设施用地,徐州市,丰  县,开发区国税局,凤城街道凤城社区,,划拨,,,,2018,12,2018/12/12,0.355212,355.212,1,,国家税务总局丰县税务局,,,,,,,,,,,,,,2019/2/12,2020/2/11
72,公共设施用地,徐州市,丰  县,欢口综合便民服务中心,丰县欢口镇常庄村,,划拨,,,,2018,12,2018/12/12,0.216593,216.593,1,,丰县欢口镇人民政府,,,,,,,,,,,,,,2019/2/12,2020/2/11
73,科教用地,徐州市,丰  县,王沟镇单楼幼儿园,王沟镇蒋单楼村,,划拨,,,,2018,12,2018/12/12,0.4957,495.7,1,,丰县王沟镇中心学校,,,,,,,,,,,,,,2019/2/12,2020/2/11
74,公路用地,徐州市,丰  县,王沟镇公共道路,王沟镇工业园区张庄村王勇工业项目水泥地,,划拨,,,,2018,12,2018/12/12,0.420533,420.533,1,,丰县王沟镇人民政府,,,,,,,,,,,,,,2019/2/12,2020/2/11
75,公路用地,徐州市,丰  县,欢口镇欢口村公共道路,欢口镇欢口村,,划拨,,,,2018,12,2018/12/12,5.081468,5081.468,1,,丰县欢口镇人民政府,,,,,,,,,,,,,,2019/2/12,2020/2/11
76,公共设施用地,徐州市,丰  县,欢口镇邮政支局配送中心,欢口镇欢口村,,划拨,,,,2018,12,2018/12/12,0.168121,168.121,1,,丰县邮政局,,,,,,,,,,,,,,2019/2/12,2020/2/11
77,公路用地,徐州市,丰  县,大沙河镇果都公路,大沙河镇岳村村,,划拨,,,,2018,12,2018/12/12,0.565691,565.691,1,,丰县大沙河镇人民政府,,,,,,,,,,,,,,2019/2/12,2020/2/11
78,公共设施用地,徐州市,丰  县,常店镇邮政支局配送中心,常店镇郭庄村,,划拨,,,,2018,12,2018/12/12,0.06374,63.74,1,,丰县邮政局,,,,,,,,,,,,,,2019/2/12,2020/2/19
