编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
29,教育用地,泰州市,泰兴市,泰兴市育红幼儿园,羌溪路西侧、龙河路南侧,,划拨,,,,2020,2020年5月,2020年5月11日,7695,1.5,11542.5,泰兴市育红幼儿园,,,,,,,,,,,,,,2021年5月9日,2023年5月9日
30,教育用地,泰州市,泰兴市,泰兴市市级机关幼儿园,根思路北侧、拱极路东侧,,划拨,,,,2020,2020年5月,2020年5月11日,9369,1.5,14053.5,泰兴市市级机关幼儿园,,,,,,,,,,,,,,2021年5月9日,2023年5月9日
31,公用设施用地,泰州市,泰兴市,国网江苏省电力有限公司泰兴市供电分公司,滨江镇三联村,,划拨,,,,2020,2020年5月,2020年5月11日,3746,1.2,4495.2,国网江苏省电力有限公司泰兴市供电分公司,,,,,,,,,,,,,,2021年5月9日,2023年5月9日
32,城镇村道路用地,泰州市,泰兴市,江苏省泰兴市经济开发区管理委员会,经济开发区祥瑞路西侧,,划拨,,,,2020,2020年5月,2020年5月11日,2950,1,2950,江苏省泰兴经济开发区管理委员会,,,,,,,,,,,,,,2021年5月9日,2023年5月9日
33,河流水面,泰州市,泰兴市,江苏省泰兴经济开发区管理委员会（芦坝港）,经济开发区滨江南路东侧、锦江西路北侧、沿江大道西侧,,划拨,,,,2020,2020年5月,2020年5月11日,18129,1,18129,江苏省泰兴经济开发区管理委员会,,,,,,,,,,,,,,2021年5月9日,2023年5月9日
34,河流水面,泰州市,泰兴市,泰兴市经济开发区管理委员会（芦坝港）,开发区滨江南路东侧、锦江西路北侧、沿江大道西侧,,划拨,,,,2020,2020年5月,2020年5月9日,17310,1,17310,江苏省泰兴经济开发区管理委员会,,,,,,,,,,,,,,2021年5月9日,2023年5月9日
35,公路用地,泰州市,泰兴市,泰兴市城市投资发展集团有限公司（泰盛路）,北起银杏路，南至根思路,,划拨,,,,2020,2020年5月,2020年5月8日,7056,1,7056,泰兴市城市建设投资发展集团有限公司,,,,,,,,,,,,,,2021年1月22日,2023年1月22日
36,公路用地,泰州市,泰兴市,泰兴市城市投资发展集团有限公司（泰盛路）,北起银杏路，南至根思路,,划拨,,,,2020,2020年5月,2020年5月8日,6750,1,6750,泰兴市城市建设投资发展集团有限公司,,,,,,,,,,,,,,2021年1月22日,2023年1月22日
37,公路用地,泰州市,泰兴市,泰兴市城市投资发展集团有限公司（北辅路）,西起济川路，北至阳江路,,划拨,,,,2020,2020年5月,2020年5月8日,9810,1,9810,泰兴市城市建设投资发展集团有限公司,,,,,,,,,,,,,,2021年1月22日,2023年1月22日
38,公路用地,泰州市,泰兴市,泰兴市城市投资发展集团有限公司（北辅路）,西起济川路，北至阳江路,,划拨,,,,2020,2020年5月,2020年5月8日,17313,1,17313,泰兴市城市建设投资发展集团有限公司,,,,,,,,,,,,,,2021年1月22日,2023年1月22日
39,工业用地,泰州市,泰州市本级,医药高新区泰镇路东侧、东联路南侧地块,医药高新区泰镇路东侧、东联路南侧,50,挂牌出让,,1250,,2020,2020年5月,2020年5月8日,33409,2,66818,江苏鸿赞蜂窝科技有限公司,,,,,,,,,,,,,,2020年8月8日,2021年8月8日
40,教育用地,泰州市,泰州市本级,柴墟幼儿园,高港区口岸街道口岸社区境内,,划拨,,,,2020,2020年5月,2020年5月6日,7670,0.8,6136,泰州引江城市开发建设有限公司,,,,,,,,,,,,,,2020年6月30日,2021年6月30日
41,工业用地,泰州市,靖江市,靖江锦麟科技产业园管理有限公司,西来镇五圩村,50,挂牌出让,,4556.25,,2020,2020年5月,2020年5月4日,151875,2,303750,靖江锦麟科技产业园管理有限公司,,,,,,,,,,,,,,2021年5月31日,2023年5月31日
42,工业用地,泰州市,靖江市,江苏菲尔特液压机械有限公司,马桥镇正北村,50,挂牌出让,,412.8,,2020,2020年4月,2020年4月28日,6880,2,13760,江苏菲特尔液压机械有限公司,,,,,,,,,,,,,,2021年4月30日,2022年4月30日
43,工业用地,泰州市,靖江市,江苏亿鑫金属制品有限公司,马桥镇正北村,50,挂牌出让,,204.84,,2020,2020年4月,2020年4月28日,3414,2,6828,江苏亿鑫金属制品有限公司,,,,,,,,,,,,,,2021年4月30日,2022年4月30日
44,工业用地,泰州市,靖江市,江苏佳德纺织有限公司,马桥镇正北村,50,挂牌出让,,709.56,,2020,2020年4月,2020年4月28日,11826,2,23652,江苏佳德纺织有限公司,,,,,,,,,,,,,,2021年4月30日,2022年4月30日
45,社会福利用地,泰州市,兴化市,昭阳街道严家村老年活动中心,兴化市昭阳街道严家村河北西区,,划拨,,,,2020,2020年4月,2020年4月27日,657.1,0.5,328.55,兴化市人民政府昭阳街道办事处,,,,,,,,,,,,,,2021年5月13日,2022年5月13日
