行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间
池州市本级,兰溪路,兰溪路,1.3873,街巷用地,划拨,,其他服务业,,池州市天堂湖建设发展有限公司,,2018年10月26日,,
池州市本级,皖舟湖工程,江南产业集中区,7.6419,公园与绿地,划拨,,其他服务业,,安徽省江南产业集中区建设投资发展（集团）有限公司,,2018年10月26日,,
池州市本级,太平路,太平路,2.3376,街巷用地,划拨,,其他服务业,,池州市天堂湖建设发展有限公司,,2018年10月26日,,
池州市本级,青通路,青通路,4.8077,街巷用地,划拨,,其他服务业,,池州市天堂湖建设发展有限公司,,2018年10月26日,,
东至县,东流镇工业集中区地块,东流镇工业集中区,3.203627,工业用地,拍卖出让,50,工程准备,418.4924,安徽长瑞建材有限公司,1.001.50,2018年10月26日,2019年10月25日,2020年10月25日
青阳县,县检察院办案和专业技术用房,青阳县蓉城镇陵阳路南侧、富阳路东侧,0.0422,机关团体用地,划拨,,国家机构,0,青阳县人民检察院,0.005.00,2018年10月25日,2019年1月25日,2020年1月25日
东至县,安徽省东至县大渡口中学学校新大门,大渡口镇镇荣村,0.071162,科教用地,划拨,,教育业,8.56,安徽省东至县大渡口中学,0.21,2018年10月24日,,
贵池区,装配式建筑预制件生产基地建设项目,前江工业园区C02地块,13.3267,工业用地,挂牌出让,50,建筑业,2100,中电建池州长智建工有限公司,1.000.00,2018年10月24日,2020年11月1日,2022年11月1日
池州市本级,金安园区75号,池州开发区,1.321,工业用地,挂牌出让,50,农业,220,池州金华农业科技有限责任公司,1.000.00,2018年10月24日,2012年9月18日,2013年9月17日
贵池区,装配式建筑预制件生产基地建设项目,前江工业园区C01地块,13.3059,工业用地,挂牌出让,50,建筑业,2100,中电建池州长智建工有限公司,1.000.00,2018年10月24日,2020年11月1日,2022年11月1日
贵池区,游客服务中心,杏花村文化旅游区,2.175,公共设施用地,划拨,,商务服务业,,安徽杏花村集团有限公司,,2018年10月23日,,
贵池区,绿化工程项目,杏花村文化旅游区,17.1549,公园与绿地,划拨,,商务服务业,,安徽杏花村集团有限公司,,2018年10月23日,,
贵池区,绿化工程项目,杏花村文化旅游区,0.45246,公园与绿地,划拨,,商务服务业,,安徽杏花村集团有限公司,,2018年10月23日,,
贵池区,绿化工程项目,杏花村文化旅游区,14.13169,公园与绿地,划拨,,商务服务业,,安徽杏花村集团有限公司,,2018年10月23日,,
东至县,金江路地块和纬二路地块,大渡口镇金江路,0.529066,公路用地,划拨,,道路运输业,0,池州大渡口经济技术开发区投资建设有限公司,,2018年10月23日,2019年10月18日,2020年10月18日
贵池区,玉镜花园绿化项目,马衙街道杨安社区,0.2311,公园与绿地,划拨,,公共管理和社会组织,,池州市贵池区人民政府马衙街道办事处,,2018年10月22日,,
贵池区,绿化工程项目,杏花村文化旅游区,1.73111,公园与绿地,划拨,,商务服务业,,安徽杏花村集团有限公司,,2018年10月22日,,
贵池区,碧慧园廉租房项目,马衙街道办事处大路村,0.6466,廉租住房用地,划拨,,公共管理和社会组织,,池州市贵池区人民政府马衙街道办事处,1,2018年10月22日,,
贵池区,十里桥文化展示馆项目,杏花文化旅游区,0.4067,公共设施用地,划拨,,商务服务业,,安徽杏花村集团有限公司,,2018年10月22日,,
贵池区,刘街中心自来水厂项目,梅街镇刘街社区,0.1929,公共设施用地,划拨,,公共管理和社会组织,,池州市贵池区梅街镇人民政府,,2018年10月22日,,
贵池区,绿化用地项目,梅龙街道郭港村,0.1349,公园与绿地,划拨,,公共管理和社会组织,,池州市贵池区人民政府梅龙街道办事处,,2018年10月22日,,
贵池区,杏花迎宾项目,杏花村文化旅游区,1.4801,公路用地,划拨,,商务服务业,,安徽杏花村集团有限公司,,2018年10月22日,,
东至县,东至县2007-22批次置换局部调整被置换地块,葛公镇联塘村,0.381556,工业用地,挂牌出让,50,建筑装饰业,46,东至县美信地脚线厂,1.001.50,2018年10月22日,,
池州市本级,开发区路网边角地,池州开发区,5.8494,街巷用地,划拨,,其他服务业,,安徽省池州市平天湖建设工程有限公司,,2018年10月19日,,
池州市本级,路网绿化地块一,池州开发区,4.9488,公园与绿地,划拨,,其他服务业,,安徽省池州市平天湖建设工程有限公司,,2018年10月19日,,
池州市本级,滨江、新港、港一、港二路,开发区,8.7136,街巷用地,划拨,,其他服务业,,安徽省池州市平天湖建设工程有限公司,,2018年10月19日,,
池州市本级,江口河北侧绿化地,池州开发区,5.6412,公园与绿地,划拨,,其他服务业,,安徽省池州市平天湖建设工程有限公司,,2018年10月19日,,
池州市本级,双龙路北侧绿化地,池州开发区,0.6686,公园与绿地,划拨,,其他服务业,,安徽省平天湖建设工程有限公司,,2018年10月19日,,
池州市本级,苏州路部分,池州开发区,0.0636,街巷用地,划拨,,其他服务业,,安徽省池州市平天湖建设工程有限公司,,2018年10月19日,,
池州市本级,道路路网2,池州开发区,4.03,街巷用地,划拨,,其他服务业,,安徽省池州市平天湖建设工程有限公司,,2018年10月19日,,
贵池区,绿化用地项目,前几工业园区,3.631,公园与绿地,划拨,,公共设施管理业,,池州市贵池区建业有限公司,,2018年10月16日,,
贵池区,绿化及公路用地,前江工业园区,11.4058,公园与绿地,划拨,,公共设施管理业,,池州市贵池区建业投资有限公司,,2018年10月16日,,
贵池区,公路用地项目,前江工业园区,7.2047,公路用地,划拨,,公共设施管理业,,池州市贵池区建业投资有限公司,,2018年10月16日,,
贵池区,绿化用地项目,马衙街道灵芝村,0.39979,公园与绿地,划拨,,制造业,,池州市贵池汇财置业有限公司,,2018年10月11日,,
贵池区,池州大道一期,池州大道地块一,11.0895,公路用地,划拨,,房地产业,,安徽省江南产业集中区建设投资发展（集团）有限公司,,2018年10月10日,,
池州市本级,清溪大道与贵铜公路交叉口东南侧,开发区清溪大道,10.0305,其他普通商品住房用地,挂牌出让,70,房地产业,8826,绿地集团池州置业有限公司,1.001.60,2018年10月10日,2019年8月1日,2021年7月31日
