行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,,
萧县,萧县新庄镇中心幼儿园,萧县新庄镇新庄居委会,0.266,教育用地,划拨,,教育业,0,萧县新庄镇中心学校,0.600.60,2020年5月18日,2021年10月20日,2022年4月20日,,
萧县,萧县新庄镇中心卫生院综合楼,萧县新庄镇新庄居委会,0.4701,医疗卫生用地,划拨,,卫生,112.8,萧县新庄镇中心卫生院,1.201.20,2020年5月18日,2021年12月30日,2022年12月30日,,
宿州市本级,宿州祥生房地产开发有限公司,宿州市三八街道宿蒙路以东、淮北矿业（集团）金园房地产开发有限公司以西,9.687176,城镇住宅用地,拍卖出让,70,房地产业,45626.5864,宿州祥生房地产开发有限公司,1.802.20,2020年5月18日,2021年5月17日,2024年5月16日,,
宿州市本级,宿州市昌云房地产开发有限公司,宿州市高新区邵杨村、北十里村、人民路与唐河路交口处西北角,3.95874,城镇住宅用地,挂牌出让,70,房地产业,4334.8203,宿州市昌云房地产开发有限公司,1.602.20,2020年5月15日,2021年5月14日,2022年5月13日,,
宿州市本级,宿州华瑞网络信息服务有限公司,宿州市高新区邵杨村北三环路北侧,7.272956,工业用地,挂牌出让,50,计算机服务业,1145.4902,宿州华瑞网络信息服务有限公司,1.3,2020年5月15日,2020年11月14日,2021年11月13日,,
泗县,虹乡剧场,赤山路与花园路交口处东南角,3.205022,文化设施用地,划拨,,文化艺术业,,泗县虹乡建设发展有限责任公司,0.300.30,2020年5月15日,2020年7月10日,2021年7月10日,,
宿州市本级,安徽云居智能科技产业有限公司,宿州市高新区大王村引河路南侧、鹤山路西侧,7.526462,工业用地,挂牌出让,50,家具制造业,1185.4175,安徽云居智能科技产业有限公司,1.3,2020年5月15日,2020年11月14日,2021年11月13日,,
泗县,黑塔镇黑塔村公交站,泗县黑塔镇黑塔村,0.9591,交通服务场站用地,挂牌出让,50,城市公共交通业,432,泗县鼎盛交通文化旅游投资有限公司,0.5,2020年5月13日,2020年8月1日,2021年8月1日,,
泗县,瓦坊中陆岛食品,泗县瓦坊乡张楼村,0.3181,工业用地,挂牌出让,50,农副食品加工业,47.715,安徽中陆岛食品有限公司,1.000.00,2020年5月13日,2020年9月1日,2021年9月1日,,
泗县,河畔人家,东至学士路，西至石梁河，南至沱河路，北至玉兰路,6.0221,城镇住宅用地,划拨,,房地产业,,泗县虹乡建设发展有限责任公司,1.801.80,2020年5月13日,2020年7月10日,2022年7月10日,,
泗县,国网安徽省宿州泗县供电公司大庄供电所项目,泗县大庄镇教育路与青年路交叉口,0.3318,公用设施用地,划拨,,公共设施管理业,84.609,国网安徽省电力有限公司泗县供电公司,0.6,2020年5月13日,2020年6月30日,2021年6月30日,,
泗县,黄圩镇黄圩村,泗县黄圩镇黄圩村,0.359302,交通服务场站用地,挂牌出让,50,城市公共交通业,162,泗县鼎盛交通文化旅游投资有限公司,0.000.50,2020年5月13日,2020年8月1日,2021年8月1日,,
泗县,山头骆庙公交站,泗县山头镇骆庙村,0.3203,交通服务场站用地,挂牌出让,50,城市公共交通业,144,泗县鼎盛交通文化旅游投资有限公司,0.000.50,2020年5月13日,2020年8月1日,2021年8月1日,,
泗县,大路口乡龙湖村公交站,泗县大路口乡龙湖村,0.512334,交通服务场站用地,挂牌出让,50,城市公共交通业,231,泗县鼎盛交通文化旅游投资有限公司,0.000.50,2020年5月13日,2020年8月1日,2021年8月1日,,
泗县,草沟镇草沟村公交站,泗县草沟镇草沟村,1.0191,交通服务场站用地,挂牌出让,50,城市公共交通业,459,泗县鼎盛交通文化旅游投资有限公司,0.5,2020年5月13日,2020年8月1日,2021年8月1日,,
泗县,大庄镇大庄村,泗县大庄镇大庄村,1.3783,交通服务场站用地,挂牌出让,50,城市公共交通业,620,泗县鼎盛交通文化旅游投资有限公司,0.5,2020年5月13日,2020年8月1日,2021年8月1日,,
泗县,赵魏新城二期,丹凤路西、朱山路东侧,3.5233,城镇住宅用地,划拨,,房地产业,,泗县虹城工业投资有限责任公司,2.502.50,2020年5月12日,2020年7月10日,2022年7月10日,,
萧县,安徽百匠置业有限公司,圣泉乡圣泉村，萧龙路东侧、圣泉路北侧、北外环南侧,5.34,城镇住宅用地,拍卖出让,70,房地产业,23789.7,安徽百匠置业有限公司,1.501.80,2020年5月11日,2021年7月10日,2023年7月10日,,
萧县,萧县斌锋置业有限公司,圣泉乡郭庄村、萧龙路西侧、圣泉路南侧、发展大道北侧,6.359,城镇住宅用地,拍卖出让,70,房地产业,30141.66,萧县斌锋置业有限公司,1.501.80,2020年5月11日,2021年7月10日,2023年7月10日,,
泗县,汉风泗县草庙风电场,泗城境内,1.875,公用设施用地,划拨,,电力、热力的生产和供应业,478.125,泗县汉风新能源科技有限公司,1.001.00,2020年5月11日,2020年6月10日,2021年6月10日,,
宿州市本级,宿州市高新建设投资有限责任公司,宿州市高新区邵杨村北三外环路北侧、龙城路东侧,4.747462,工业用地,挂牌出让,50,其他金融服务,747.725,宿州市高新建设投资有限责任公司,1.3,2020年5月8日,2020年11月7日,2021年11月6日,,
萧县,何玉行、张计划,萧县龙城镇交通路西段北侧,0.010375,城镇住宅用地,协议出让,70,房地产业,14.915,何玉行、张计划,2.002.00,2020年5月7日,,,,
宿州市本级,埇桥区委党校新校区建设项目,宿州市循环经济示范园埇桥路西侧,7.5249,教育用地,划拨,,中国共产党机关,,中国共产党宿州市埇桥区委员会党校,0.500.80,2020年5月7日,2020年10月6日,2021年10月5日,,
泗县,火车站物流园东区,泗县屏山镇白庙村,11.394401,仓储用地,挂牌出让,50,仓储业,1709.1602,泗县鼎盛交通文化旅游投资有限公司,0.8,2020年5月6日,2020年11月1日,2022年5月31日,,
埇桥区,安徽矿源环保科技有限公司,埇桥经济开发区闵南东路以北，闵子大道以南，左洼村、桃山村用地以西，滨河路以东。,1.9565,工业用地,挂牌出让,50,通用设备制造业,308.1488,安徽矿源环保科技有限公司,1,2020年4月29日,2020年11月7日,2021年11月6日,,
埇桥区,安徽火花工程科技有限公司,埇桥经济开发区：左洼村用地以北，三环村以南，迎宾大道以西，滨河路以东。,10.6945,工业用地,挂牌出让,50,通用设备制造业,1684.3838,安徽火花工程科技有限公司,1,2020年4月29日,2020年11月7日,2021年11月6日,,
宿州市本级,宿州市第四水厂项目,宿州市埇桥区朱仙庄镇,0.4347,公用设施用地,划拨,,水的生产和供应业,,宿州供水服务有限公司,0.100.30,2020年4月29日,2020年9月28日,2021年9月27日,,
埇桥区,安徽冬暄测控技术有限公司,埇桥经济开发区闵子大道以北，左洼村、三环村用地以南，左洼村用地以西，滨河路以东。,2.9802,工业用地,挂牌出让,50,通用设备制造业,469.3815,安徽冬暄测控技术有限公司,1,2020年4月29日,2020年11月7日,2021年11月6日,,
宿州市本级,宿州市经开区化工园区公交首末站项目,宿州市经开区金江七路南侧、宿固路东北侧,1.8628,交通服务场站用地,划拨,,城市公共交通业,,宿州市公共交通有限公司,0.05,2020年4月29日,2020年9月28日,2021年9月27日,,
埇桥区,安徽运杰机械设备制造有限公司,埇桥经济开发区闵子大道以北，左洼、桃山村用地以南，左洼村用地以西，滨河路以东。,3.6312,工业用地,挂牌出让,50,通用设备制造业,571.914,安徽运杰机械设备制造有限公司,1,2020年4月29日,2020年11月7日,2021年11月6日,,
萧县,萧县建设投资有限责任公司,龙城镇毛郢孜村，永马路西侧，S301南侧,5.5,城镇住宅用地,拍卖出让,70,房地产业,6682.5,萧县建设投资有限责任公司,1.001.36,2020年4月28日,2021年6月27日,2023年6月27日,,
泗县,国网安徽省宿州泗县供电公司丁湖供电所项目,丁湖镇政府东北侧,0.4624,公用设施用地,划拨,,公共设施管理业,117.912,国网安徽省电力有限公司泗县供电公司,0.600.60,2020年4月28日,2020年6月10日,2021年6月10日,,
