行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,,,,
慈溪市,杭州湾新区高新小学（暂名）,宁波杭州湾新区,2.3982,教育用地,划拨,,教育业,,宁波杭州湾新区教育发展中心,0.77,2020年6月28日,2021年1月28日,2023年1月28日,,,,
江北区,江北区JB19-04-16b（应家东侧3#-2）地块,庄桥街道,2.4238,城镇住宅用地,拍卖出让,70,房地产业,6362.475,宁波市保障性住房建设投资有限公司,1.001.50,2020年6月28日,2021年7月9日,2024年7月9日,,,,
余姚市,泗门镇纬五路南侧、倪家路西侧地块（宁波博宇电器有限公司）,泗门镇泗北村,0.3581,工业用地,协议出让,50,通用设备制造业,154.3411,宁波博宇电器有限公司,1.001.50,2020年6月28日,2021年7月5日,2023年7月5日,,,,
慈溪市,宁波杭州湾新区和谦路（中湖路-芦汀路）市政工程,宁波杭州湾新区,1.4226,公路用地,划拨,,社会保障业,,慈溪杭州湾滨海开发投资有限公司,,2020年6月28日,2021年1月28日,2022年1月28日,,,,
鄞州区,海曙区GQ03-02-04b（高峰6号）地块,海曙区高桥老镇地段北侧,5.2928,城镇住宅用地,拍卖出让,70,房地产业,206450.9568,温州新蓝置业有限公司,1.002.20,2020年6月28日,2021年7月10日,2024年7月10日,,,,
慈溪市,宁波杭州湾新区南部新城星湾路（中兴一路-霁月路）市政工程,宁波杭州湾新区,0.5334,公路用地,划拨,,社会保障业,,慈溪杭州湾滨海开发投资有限公司,,2020年6月28日,2021年1月28日,2022年4月28日,,,,
慈溪市,宁波杭州湾新区芦云路（滨海大道-金源大道）市政工程,宁波杭州湾新区,2.0794,公路用地,划拨,,社会保障业,,慈溪杭州湾滨海开发投资有限公司,,2020年6月28日,2021年1月28日,2022年1月28日,,,,
慈溪市,宁波杭州湾新区海月路（海沧路-海帆路）市政工程,宁波杭州湾新区,0.8967,公路用地,划拨,,社会保障业,,慈溪杭州湾滨海开发投资有限公司,,2020年6月28日,2021年1月28日,2022年1月28日,,,,
余姚市,黄家埠镇亿格文具南侧天龙毛纺东侧地块,黄家埠镇高桥村,0.2134,工业用地,协议出让,50,金属制品业,91.9754,宁波正欣消防设备有限公司,1.201.50,2020年6月28日,2021年7月5日,2023年7月5日,,,,
慈溪市,宁波杭州湾新区和泰路（和谦路-海沧路）、和惠路（和谦路-海沧路）市政工程,宁波杭州湾新区,1.236,公路用地,划拨,,社会保障业,,慈溪杭州湾滨海开发投资有限公司,,2020年6月28日,2021年1月28日,2022年1月28日,,,,
慈溪市,慈观海卫II202020#地块,观海卫镇师东村、沈师桥村,7.1925,工业用地,拍卖出让,50,其它,4962.9,韩电集团宁波洗衣机有限公司,1.202.50,2020年6月28日,2021年6月28日,2024年6月28日,,,,
慈溪市,宁波杭州湾新区芦秀路（滨海大道-芦汀路）、海帆路（滨海大道-芦汀路）、芦汀路（芦云路-海帆路）市政工程,宁波杭州湾新区,1.0931,公路用地,划拨,,社会保障业,,慈溪杭州湾滨海开发投资有限公司,,2020年6月28日,2021年1月28日,2022年1月28日,,,,
江北区,慈城古县城CC04-31-14地块,慈城镇,2.2142,零售商业用地,拍卖出让,40,零售业,9631.77,宁波市江北开发投资集团有限公司,0.85,2020年6月28日,2021年7月9日,2024年7月9日,,,,
余姚市,泗门镇北外环路（固北路—光明北路）道路新建工程地块,泗门镇泗北村,2.2323,城镇村道路用地,划拨,,城市公共交通业,747.0231,余姚市泗门镇人民政府,,2020年6月24日,2021年7月1日,2023年7月1日,,,,
镇海区,镇海区中心粮库仓房气密性改造工程,汶骆路北侧、三星路西侧,0.0487,仓储用地,划拨,,国家机构,21.915,宁波市镇海区粮食收储有限责任公司,1.001.00,2020年6月24日,2021年7月24日,2023年7月24日,,,,
北仑区,三创基地（二期）配套道路,梅山,0.5181,城镇村道路用地,划拨,,房屋和土木工程业,466.29,宁波梅山岛开发投资有限公司,0,2020年6月24日,2020年12月24日,2022年6月23日,,,,
象山县,象山县石浦客运中心地块二,石浦镇沿海南线与龙潭路交叉口西南角,0.6068,零售商业用地,拍卖出让,40,零售业,9040,象山交通场站经营有限公司,0.15,2020年6月24日,2021年6月23日,2024年6月23日,,,,
慈溪市,慈溪市天元古家具研究所（古家具制作研究所）新建项目,天潭村,0.3161,科研用地,划拨,,研究与试验发展,30.9146,慈溪市天元古家具研究所,0.801.40,2020年6月24日,2021年6月24日,2024年6月24日,,,,
北仑区,北仑大碶模具园区育王山路BLZB13-02-20-1地块挂牌出让,北仑大碶育王山路北、规划道路东,2.334,工业用地,挂牌出让,50,专用设备制造业,1750.5,宁波臻至机械制造有限公司,1.2,2020年6月24日,2021年1月6日,2023年1月5日,,,,
象山县,象山县石浦客运中心地块一,石浦镇沿海南线与西霞路交叉口西南角,5.7034,交通服务场站用地,拍卖出让,50,城市公共交通业,4635,象山交通场站经营有限公司,0.6,2020年6月24日,2021年6月23日,2024年6月23日,,,,
宁海县,西店19-78地块项目,西店镇望海工业园区北,0.3297,工业用地,挂牌出让,50,塑料制品业,147,宁波主恩塑料制品有限公司,1.202.00,2020年6月24日,2020年11月26日,2022年5月26日,,,,
慈溪市,慈溪市雅轩紫檀红木研究所-古家具制作研究所,天潭村,0.2663,科研用地,划拨,,研究与试验发展,61.136,慈溪市雅轩紫檀红木研究所,0.601.20,2020年6月24日,2021年6月24日,2024年6月24日,,,,
象山县,象山县石浦客运中心地块三,石浦镇沿海南线与龙潭路交叉口西南角,1.2328,交通服务场站用地,拍卖出让,50,城市公共交通业,780,象山交通场站经营有限公司,0.15,2020年6月24日,2021年6月23日,2024年6月23日,,,,
北仑区,北航研究院配套道路,梅山,1.0234,城镇村道路用地,划拨,,房屋和土木工程业,921.06,宁波梅山岛开发投资有限公司,0,2020年6月24日,2020年12月24日,2022年6月23日,,,,
北仑区,海泉路,梅山,1.1543,城镇村道路用地,划拨,,房屋和土木工程业,1038.87,宁波梅山岛开发投资有限公司,0,2020年6月24日,2020年12月24日,2022年6月23日,,,,
慈溪市,慈溪市赵府檀艺博物馆-古家具制作研究所,天潭村,0.2293,科研用地,划拨,,研究与试验发展,22.4255,慈溪市赵府檀艺博物馆,0.601.20,2020年6月24日,2021年6月24日,2024年6月24日,,,,
镇海区,镇海区骆驼规划小学（暂名）,静远西路北侧，金华河南侧,3.1329,教育用地,划拨,,中国共产党机关,1160.6283,宁波市镇海区教育局,0.620.62,2020年6月23日,2021年7月23日,2023年7月23日,,,,
