行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,,,,
余姚市,外来职工公寓地块周边绿化用地,梨洲街道三溪村,0.1397,公园与绿地,划拨,,公共设施管理业,12.573,余姚经济开发区建设投资发展有限公司,,2018年12月12日,2019年12月19日,2021年12月19日,,,,
北仑区,九峰山区域新农村建设1#地块东侧绿化,大碶,1.609,公园与绿地,划拨,,房屋和土木工程业,1448.1,宁波经济技术开发区市政建设有限公司,,2018年12月12日,2019年12月13日,2020年12月14日,,,,
北仑区,大碶街道1号地块（城湾）公园与绿地,大碶,3.7483,公园与绿地,划拨,,房屋和土木工程业,3373.47,宁波滨港建设投资有限公司,,2018年12月12日,2019年12月13日,2020年12月14日,,,,
余姚市,华润五彩城配套带状绿化地块三,凤山街道双河村,0.5291,公园与绿地,划拨,,公共设施管理业,47.619,余姚经济开发区建设投资发展有限公司,,2018年12月12日,2019年12月19日,2021年12月19日,,,,
象山县,石浦镇经五路与纬一路交叉口东北角地块一,石浦镇纬一路与经六路交叉口西南角,3.6965,中低价位、中小套型普通商品住房用地,拍卖出让,70,房地产业,8450,象山经济开发区科技园区建设开发有限公司,1.001.60,2018年12月12日,2019年12月11日,2022年12月11日,,,,
北仑区,霞浦街道宝新西侧停车场,霞浦,26.6307,街巷用地,划拨,,房屋和土木工程业,23967.63,宁波滨港建设投资有限公司,,2018年12月12日,2019年12月13日,2020年12月14日,,,,
象山县,石浦镇经五路与纬一路交叉口东北角地块二,石浦镇经五路与纬一路交叉口东北角,4.1966,中低价位、中小套型普通商品住房用地,拍卖出让,70,房地产业,9590,象山经济开发区科技园区建设开发有限公司,1.001.60,2018年12月12日,2019年12月11日,2022年12月11日,,,,
慈溪市,慈观海卫II201823#,观海卫镇,1.5959,工业用地,拍卖出让,50,其它,1116.4,浙江来和科技股份有限公司,1.002.50,2018年12月12日,2019年12月12日,2022年12月12日,,,,
余姚市,陆埠镇五马工业功能区25#地块,陆埠镇郭姆村,0.6669,工业用地,挂牌出让,50,金属制品业,1061,余姚市普润净水设备有限公司,1.202.00,2018年12月12日,2020年1月23日,2021年1月23日,,,,
余姚市,凤仪路南侧地块周边绿化用地,梨洲街道三溪村,0.0384,公园与绿地,划拨,,公共设施管理业,3.456,余姚经济开发区建设投资发展有限公司,,2018年12月12日,2019年12月19日,2021年12月19日,,,,
北仑区,北仑科技园区配套道路,大碶,0.1528,街巷用地,划拨,,房屋和土木工程业,137.52,宁波滨港建设投资有限公司,,2018年12月12日,2019年12月13日,2020年12月14日,,,,
北仑区,霞浦街道上傅高速立交东侧绿化,霞浦,2.3605,公园与绿地,划拨,,房屋和土木工程业,2124.45,宁波滨港建设投资有限公司,,2018年12月12日,2019年12月13日,2020年12月14日,,,,
余姚市,望梅路南侧地块周边绿化用地,凤山街道双河村,0.0199,公园与绿地,划拨,,公共设施管理业,1.791,余姚经济开发区建设投资发展有限公司,,2018年12月12日,2019年12月19日,2021年12月19日,,,,
北仑区,富春江路(余北路-通途路),大碶,1.4407,街巷用地,划拨,,房屋和土木工程业,1296.63,宁波滨港建设投资有限公司,,2018年12月12日,2019年12月13日,2020年12月14日,,,,
余姚市,东江桥西接坡拆迁地块河流绿化用地,凤山街道永丰村,0.4848,公园与绿地,划拨,,公共设施管理业,43.632,余姚经济开发区建设投资发展有限公司,,2018年12月12日,2019年12月19日,2021年12月19日,,,,
余姚市,锦凤路南侧地块周边绿化用地,梨洲街道苏家园村,0.0969,公园与绿地,划拨,,公共设施管理业,8.721,余姚经济开发区建设投资发展有限公司,,2018年12月12日,2019年12月19日,2021年12月19日,,,,
宁波市本级,鄞州区GX06-01-19-01地块,宁波国家高新区,1.005,工业用地,挂牌出让,50,化学纤维制造业,879.375,宁波八益集团有限公司,2.003.00,2018年12月12日,2020年6月24日,2022年6月24日,,,,
宁波市本级,鄞州区GX03-02-04地块,宁波国家高新区,0.9989,科教用地,挂牌出让,50,教育业,1239.6349,宁波凯岳教育管理咨询有限公司,1,2018年12月11日,2019年12月24日,2022年12月24日,,,,
奉化市,西坞街道城镇低效用地再开发三十三号地块（带征）,西坞街道,0.0211,公园与绿地,划拨,,国家机构,0,宁波市奉化区人民政府西坞街道办事处,,2018年12月11日,,,,,,
奉化市,岳林街道圣墩村四号地块(带征）,岳林街道,0.0646,公园与绿地,划拨,,国家机构,0,宁波市奉化区人民政府岳林街道办事处,,2018年12月11日,,,,,,
奉化市,岳林街道舒前村住宅地块(带征）,岳林街道,0.0053,公园与绿地,划拨,,国家机构,0,宁波市奉化区人民政府岳林街道办事处,,2018年12月11日,,,,,,
奉化市,奉化市公安消防大队莼湖中队营房建设项目(带征）,莼湖镇,0.0126,公园与绿地,划拨,,国家机构,0,宁波市奉化区莼湖镇人民政府,,2018年12月11日,,,,,,
宁波市本级,宁波市轨道交通4号线工程（东钱湖段）,东钱湖,0.3302,铁路用地,划拨,,铁路运输业,,宁波市轨道交通集团有限公司,,2018年12月11日,2019年12月22日,2022年12月22日,,,,
鄞州区,首南路西延（万隆路—广德湖北路）,庙堰村,0.2516,公路用地,划拨,,居民服务业,120.6344,宁波市鄞城集团有限责任公司,0.000.00,2018年12月11日,2020年6月9日,2022年6月8日,,,,
奉化市,奉化市南山路172号地块(带征）,锦屏街道,0.008,公园与绿地,划拨,,国家机构,0,宁波市奉化区人民政府锦屏街道办事处,,2018年12月11日,,,,,,
鄞州区,鄞州东南智慧产业园5号带征绿化地块,姜村、东升村,0.5365,公园与绿地,划拨,,居民服务业,255.8546,宁波市鄞州下应东南片区拆迁置业有限公司,0.000.00,2018年12月11日,2020年6月9日,2021年6月8日,,,,
鄞州区,鄞州东南智慧产业园1号带征绿化地块,姜村,0.4904,公园与绿地,划拨,,居民服务业,248.9758,宁波市鄞州下应东南片区拆迁置业有限公司,0.000.00,2018年12月11日,2020年6月9日,2022年6月8日,,,,
鄞州区,鄞州区投创地段YZ02-04-(g2、g5)地块道路及道路绿化用地,泗港村、中鹅村,0.7199,街巷用地,划拨,,国家机构,179.9979,宁波市鄞州区人民政府潘火街道办事处,0.000.00,2018年12月11日,2020年6月9日,2022年6月8日,,,,
鄞州区,鄞州东南智慧产业园3号地块道路、公园留地,湾底村、姜村、东升村,0.9537,公园与绿地,划拨,,居民服务业,197.5281,宁波市鄞州下应东南片区拆迁置业有限公司,0.000.00,2018年12月11日,2020年6月9日,2022年6月8日,,,,
鄞州区,鄞州区中河初级中学道路绿化用地,顾家、林家,0.9343,公园与绿地,划拨,,教育业,84.6615,宁波市鄞州区教育局,0.000.00,2018年12月11日,2020年6月9日,2022年6月8日,,,,
鄞州区,泰安西路（滨江南路—广德湖南路）,铜盆闸村,1.5699,公路用地,划拨,,居民服务业,667.5468,宁波市鄞城集团有限责任公司,0.000.00,2018年12月11日,2020年6月9日,2022年6月8日,,,,
鄞州区,广德湖北路（堇山路—四明西路）,钟公庙村,1.483,公路用地,划拨,,居民服务业,244.695,宁波市鄞城集团有限责任公司,0.000.00,2018年12月11日,2020年6月9日,2022年6月8日,,,,
鄞州区,滨江路(四明西路—杭甬高速公路）及堇山西路,慧灯寺村、钟公庙村、庙堰村,3.0819,公路用地,划拨,,居民服务业,546.8508,宁波市鄞城集团有限责任公司,0.000.00,2018年12月11日,2020年6月9日,2022年6月8日,,,,
鄞州区,惠风西路（宁姜公路—它山堰路东）,庙堰村、毛家漕村,0.7088,公路用地,划拨,,居民服务业,291.1554,宁波市鄞城集团有限责任公司,0.000.00,2018年12月11日,2020年6月9日,2022年6月8日,,,,
鄞州区,鄞东南沿山干河工程五乡安置地块,宁波市鄞州区五乡镇,0.6598,经济适用住房用地,划拨,,群众团体、社会团体和宗教组织,,宁波市水利局,1.002.00,2018年12月11日,2020年4月14日,2022年4月14日,,,,
奉化市,110KV尚田变电所(带征）,尚田镇,0.0587,公园与绿地,划拨,,国家机构,0,宁波市奉化区尚田镇人民政府,,2018年12月11日,,,,,,
宁海县,西店12-7-2地块,西店镇洪家村,1.5092,宗教用地,划拨,,群众团体、社会团体和宗教组织,173.2046,宁海广德寺,,2018年12月11日,2019年12月11日,2020年12月11日,,,,
北仑区,春晓杨家岭地块,春晓,34.6623,公园与绿地,划拨,,房屋和土木工程业,31196.07,宁波滨海新城建设投资有限公司,,2018年12月11日,2019年12月13日,2020年12月14日,,,,
北仑区,梅山问津路两侧绿化,梅山,0.8669,公园与绿地,划拨,,房屋和土木工程业,780.21,宁波梅山岛开发投资有限公司,,2018年12月11日,2019年12月13日,2020年12月14日,,,,
奉化市,甬奉新城JK05-08-04d-3地块,江口街道，葭浦路南侧、盛源路东侧、汇诚路西侧。,2.8727,工业用地,挂牌出让,50,医药制造业,1939,宁波联东金炎实业有限公司,1.202.00,2018年12月11日,2019年6月21日,2021年6月21日,,,,
宁海县,宁海县桃源街道16-22地块,宁海县桃源街道东部,3.7162,其他商服用地,挂牌出让,40,商务服务业,3488,宁波富艺长泓养老投资有限公司,1.502.00,2018年12月11日,2019年12月3日,2021年12月3日,,,,
江北区,江北区CC07-02-18b地块,宁波江北高新技术产业园区,0.9442,工业用地,挂牌出让,50,金属制品业,878.106,宁波双鹿新能源科技有限公司,1.301.50,2018年12月11日,2019年9月5日,2020年12月5日,,,,
慈溪市,慈观海卫II201822#地块,观海卫镇卫西村,0.0662,工业用地,拍卖出让,50,其它,1119.2,浙江键仕科技股份有限公司,1.002.50,2018年12月11日,2019年12月11日,2022年12月11日,,,,
北仑区,梅山美的地块南侧绿化,梅山,0.7753,公园与绿地,划拨,,房屋和土木工程业,697.77,宁波梅山岛开发投资有限公司,,2018年12月11日,2019年12月13日,2020年12月14日,,,,
奉化市,甬奉新城JK05-08-04d-4地块,江口街道，葭浦路南侧、盛源路东侧、汇诚路西侧。,6.3576,工业用地,挂牌出让,50,医药制造业,4291,宁波联东金炎实业有限公司,1.202.00,2018年12月11日,2019年6月21日,2021年6月21日,,,,
北仑区,梅山三创基地配套道路,梅山,0.528,街巷用地,划拨,,房屋和土木工程业,475.2,宁波梅山岛开发投资有限公司,,2018年12月11日,2019年12月13日,2020年12月14日,,,,
北仑区,春晓污水处理厂西侧河流,春晓,5.5169,水库水面,划拨,,房屋和土木工程业,4965.21,宁波滨海新城建设投资有限公司,,2018年12月11日,2019年12月13日,2020年12月14日,,,,
鄞州区,鄞州区中河初级中学工程,林家村、顾家村,5.1167,科教用地,划拨,,教育业,576.996,宁波市鄞州区教育局,1.201.20,2018年12月11日,2020年6月9日,2023年6月8日,,,,
北仑区,小港青墩综合体北侧绿化,小港,4.2154,公园与绿地,划拨,,房屋和土木工程业,3793.86,宁波滨江新城开发投资有限公司,,2018年12月11日,2019年12月13日,2020年12月14日,,,,
慈溪市,慈观海卫II201826#地块,观海卫镇洞桥村,0.7887,工业用地,拍卖出让,50,塑料制品业,547,宁波宇昂环保科技有限公司,1.002.50,2018年12月11日,2020年12月11日,2023年12月11日,,,,
宁波市本级,鄞州区GX07-02-33-2地块,宁波国家高新区,0.3301,公共设施用地,挂牌出让,50,燃气生产和供应业,417.9066,宁波市江东福明液化石油气储配站,0.000.56,2018年12月11日,2020年3月30日,2022年3月30日,,,,
奉化市,尚田镇发展小区一期(带征）,尚田镇,0.1094,公园与绿地,划拨,,国家机构,0,宁波市奉化区尚田镇人民政府,,2018年12月10日,,,,,,
奉化市,锦屏街道拾荒者集居地(带征）,锦屏街道,0.2519,公园与绿地,划拨,,国家机构,0,宁波市奉化区人民政府锦屏街道办事处,,2018年12月10日,,,,,,
奉化市,岳林街道斯张村工业三号地块(带征）,岳林街道,0.0014,公园与绿地,划拨,,国家机构,0,宁波市奉化区人民政府岳林街道办事处,,2018年12月10日,,,,,,
鄞州区,中河消防站,蔡家漕村,0.3627,公共设施用地,划拨,,居民服务业,30.261,宁波市公安消防支队鄞州区大队,0.001.03,2018年12月10日,2020年6月18日,2022年6月17日,,,,
鄞州区,中河消防站绿化用地,蔡家漕村,0.0226,公园与绿地,划拨,,居民服务业,0,宁波市公安消防支队鄞州区大队,0.000.00,2018年12月10日,2020年6月18日,2022年6月17日,,,,
慈溪市,宁波杭州湾新区芦苇路南延市政工程,宁波杭州湾新区,1.1087,公路用地,划拨,,社会保障业,0,慈溪杭州湾滨海开发投资有限公司,0.000.00,2018年12月10日,2019年7月10日,2021年7月10日,,,,
鄞州区,宁波市鄞州区横溪镇人民政府带征地,宁波市鄞州区横溪镇周夹村,0.6344,街巷用地,划拨,,中国共产党机关,,宁波市鄞州区横溪镇人民政府,,2018年12月10日,2019年4月10日,2019年10月10日,,,,
鄞州区,下应街道江六河改建工程,江六村,1.5763,水工建筑用地,划拨,,居民服务业,975.5263,宁波市鄞州下应东南片区拆迁置业有限公司,0.000.00,2018年12月10日,2020年6月18日,2022年6月17日,,,,
鄞州区,下应街道萱荫路、寒松路道路工程,下应街道姜村村,2.0632,公路用地,划拨,,居民服务业,942.5306,宁波市鄞州下应东南片区拆迁置业有限公司,0.000.00,2018年12月10日,2020年6月8日,2022年6月7日,,,,
鄞州区,宁波市瑞宁房地产发展有限公司带征地,鄞州区首南街道鲍家耷村,0.7116,公园与绿地,划拨,,中国共产党机关,,宁波市鄞州区人民政府首南街道办事处,,2018年12月10日,2019年4月10日,2019年10月10日,,,,
鄞州区,宁波龙之恒泰国际贸易有限公司带征地,鄞州区首南街道茶亭庵村,钟公庙街道铜盆浦村,0.8596,公园与绿地,划拨,,中国共产党机关,,宁波市鄞州区人民政府首南街道办事处,,2018年12月10日,2019年4月10日,2019年10月10日,,,
鄞州区,宁波奥克斯智能商用空调制造有限公司带征道路用地,鄞州区姜山镇王伯桥村,0.9539,街巷用地,划拨,,中国共产党机关,,宁波市鄞州区姜山镇人民政府,,2018年12月10日,2019年4月10日,2019年10月10日,,,,
鄞州区,宁波宜升光电科技有限公司带征地,姜山镇夏施村,0.4561,公园与绿地,划拨,,中国共产党机关,,宁波市鄞州区姜山镇人民政府,,2018年12月10日,2019年4月10日,2019年10月10日,,,,
鄞州区,宁波联影医疗投资管理有限公司带征地,鄞州区姜山镇上何村,0.1277,公园与绿地,划拨,,中国共产党机关,,宁波市鄞州区姜山镇人民政府,,2018年12月10日,2019年4月10日,2019年10月10日,,,,
鄞州区,宁波奥克斯智能商用空调制造有限公司带征地,鄞州区姜山镇王伯桥村,乔里村,0.7163,街巷用地,划拨,,中国共产党机关,,宁波市鄞州区姜山镇人民政府,,2018年12月10日,2019年4月10日,2019年10月10日,,,
鄞州区,宁波美康生物科技股份有限公司带征地,鄞州区下应街道姜村村,0.1819,公园与绿地,划拨,,中国共产党机关,,宁波市鄞州区人民政府下应街道办事处,,2018年12月10日,2019年4月10日,2019年10月10日,,,,
鄞州区,宁波美康生物科技股份有限公司带征道路用地,鄞州区下应街道姜村,0.3122,街巷用地,划拨,,中国共产党机关,,宁波市鄞州区人民政府下应街道办事处,,2018年12月10日,2019年4月10日,2019年10月10日,,,,
鄞州区,浙江和悦网络科技有限公司带征地,鄞州区潘火街道童家村,0.2678,公园与绿地,划拨,,中国共产党机关,,宁波市鄞州区人民政府潘火街道办事处,,2018年12月10日,2019年4月10日,2019年10月10日,,,,
鄞州区,宁波市鄞州粮食收储有限公司带征地,姜山镇新汪村,0.1523,公园与绿地,划拨,,中国共产党机关,,宁波市鄞州区姜山镇人民政府,,2018年12月10日,2019年4月10日,2019年10月10日,,,,
奉化市,奉化经济开发区城镇低效用地再开发三-1号地块,三横经济开发区内，东至开源路，南至汇源路，西至中国电子进口宁波有限公司，北至奉化市飞固凯恒密封工程有限公司,0.0251,工业用地,协议出让,50,通讯设备、计算机及其他电子设备制造业,13.9054,宁波好德美电声有限公司,1.201.80,2018年12月10日,2020年1月10日,2022年1月10日,,,,
奉化市,江口街道方桥片城镇低效用地再开发六十号-4地块,江口街道方桥河西村应家东侧，现状恒丰路北侧、方港路东侧,1.0007,工业用地,挂牌出让,50,其它,483,宁波吉盛道路设施有限公司,0.901.50,2018年12月10日,2019年12月20日,2021年12月20日,,,,
宁波市本级,会展路（江澄路-海晏路）项目,西至江澄北路、东至海晏北路,1.7837,街巷用地,划拨,,道路运输业,,宁波市东部新城开发投资集团有限公司,,2018年12月10日,2019年12月10日,2021年12月10日,,,,
慈溪市,宁波杭州湾新区边防派出所综合业务用房建设项目,宁波杭州湾新区,2.0047,机关团体用地,划拨,,国家机构,,宁波市公安局杭州湾新区分局,0.5,2018年12月10日,2019年7月10日,2021年7月10日,,,,
北仑区,宝山路（新大路-灵江路）及配套高速公路匝道、停车场改扩建工程（二期）,新碶,1.5125,街巷用地,划拨,,房屋和土木工程业,1361.25,宁波市北仑区公共项目建设管理中心,,2018年12月10日,2019年6月10日,2020年12月10日,,,,
奉化市,尚田镇城镇低效用地再开发九十二号地块,尚田镇汇溪村，东、南、北均至道路，西至空地,0.464,工业用地,协议出让,50,化学原料及化学制品制造业,179.104,宁波市奉化区华胜塑业有限公司,0.701.10,2018年12月10日,2020年1月10日,2022年1月10日,,,,
慈溪市,庵东镇海川大道（含东创置业）拆迁安置区建设工程,宁波杭州湾新区,10.441,经济适用住房用地,划拨,,社会保障业,,庵东镇人民政府,1,2018年12月10日,2019年7月10日,2021年7月10日,,,,
奉化市,宁南贸易物流区1-4号地块,江口街道,0.8206,批发零售用地,挂牌出让,40,零售业,923.175,宁波农副产品物流中心有限公司,1.301.50,2018年12月10日,2019年12月20日,2022年12月20日,,,,
奉化市,裘村镇城镇低效用地再开发十八号地块,裘村镇吴江村，东至伟明大酒店，南至下湖线，西至裘村镇文体中心，北至农田,0.2604,工业用地,协议出让,50,其它,97.9104,宁波市奉化荣博机电有限公司,1.101.80,2018年12月10日,2020年1月10日,2022年1月10日,,,,
北仑区,曼哈顿停车场改建工程（增补地块）,新碶,0.0683,街巷用地,划拨,,房屋和土木工程业,61.47,宁波市北仑区公共项目建设管理中心,,2018年12月10日,2019年6月10日,2020年12月10日,,,,
宁波市本级,桑家安置房2#、3#地块配套道路工程,福明街道，东侧路南起江南路，北至桑家河跨河桥；北侧路西起桑家河以东，东至东侧路。,1.8817,街巷用地,划拨,,居民服务业,0,宁波市鄞城集团有限责任公司,,2018年12月10日,2020年6月18日,2022年6月17日,,,,
慈溪市,宁波杭州湾新区海沧路南规划环路市政工程,宁波杭州湾新区,2.0865,公路用地,划拨,,城市公共交通业,,慈溪杭州湾滨海开发投资有限公司,,2018年12月10日,2019年7月10日,2021年7月10日,,,,
慈溪市,宁波杭州湾新区220KV莲花变迁建工程,宁波杭州湾新区,1.2168,公共设施用地,划拨,,公共设施管理业,,慈溪市经济开发有限公司,,2018年12月10日,2019年7月10日,2021年7月10日,,,,
慈溪市,慈观海卫II201708#地块,观海卫镇沈师桥村、东桥头村,1.3027,工业用地,拍卖出让,50,通讯设备、计算机及其他电子设备制造业,900.9,慈溪市华拓光电科技有限公司,1.102.50,2018年12月10日,2019年12月10日,2022年12月10日,,,,
宁波市本级,海田大厦南侧路,文教街道，西起文教路，东至永丰北路,0.5319,街巷用地,划拨,,城市公共交通业,,宁波市江北区城市管理局,,2018年12月10日,2019年12月9日,2021年12月9日,,,,
宁波市本级,盛梅路（横河—宁穿路）新建道路工程,东部新城核心区以东片区，北起宁穿路，南至横河,2.787,街巷用地,划拨,,道路运输业,,宁波东部新城开发投资集团有限公司,,2018年12月10日,2019年12月10日,2021年12月10日,,,,
慈溪市,宁波杭州湾新区海沧路南规划横路市政工程,宁波杭州湾新区,0.7349,公路用地,划拨,,城市公共交通业,,慈溪杭州湾滨海开发投资有限公司,,2018年12月10日,2019年7月10日,2021年7月10日,,,,
余姚市,低塘街道汤家闸村（余姚市炜虹洁具厂）地块三,低塘街道汤家闸村,0.1175,工业用地,协议出让,50,塑料制品业,50.6425,余姚市炜虹洁具厂,1.001.50,2018年12月10日,2019年12月17日,2021年12月17日,,,,
慈溪市,宁波杭州湾新区海沧路南规划纵路市政工程,宁波杭州湾新区,0.6488,公路用地,划拨,,社会福利业,,慈溪杭州湾滨海开发投资有限公司,,2018年12月10日,2019年7月10日,2021年7月10日,,,,
奉化市,江口民营科技园区城镇低效用地再开发十四号地块,江口街道民营科技园区,0.6667,工业用地,挂牌出让,50,金属制品业,339,奉化市平达冶金机械厂,0.901.50,2018年12月10日,2019年12月20日,2021年12月20日,,,,
余姚市,河角路（丰立路-丰悦路）道路新建工程,阳明街道丰乐村、马渚镇马漕头村,1.7081,街巷用地,划拨,,城市公共交通业,506.8212,余姚市城西工业开发建设有限公司,,2018年12月9日,2019年12月16日,2021年12月16日,,,,
宁海县,铁路甬台温线宁海段,宁海境内,148.2838,铁路用地,划拨,,铁路运输业,6571.7,沿海铁路浙江有限公司,0.000.00,2018年12月7日,2011年5月5日,2014年5月5日,,,,
鄞州区,宁波宾利投资有限公司带征地,宁波市鄞州区首南街道毛家漕村,0.0635,街巷用地,划拨,,其他服务业,,宁波市鄞州区人民政府首南街道办事处,,2018年12月7日,2019年4月7日,2019年10月14日,,,,
鄞州区,下应街道湖下路（宁横公路、镇东路）天宫路拓宽改造工程,河东、湾底、江六、柴家村,4.8105,公路用地,划拨,,居民服务业,1154.8456,宁波市鄞州下应东南片区拆迁置业有限公司,0.000.00,2018年12月7日,2020年6月5日,2023年6月4日,,,,
鄞州区,下应街道启明南路工程,江六、河西、河东村,2.941,公路用地,划拨,,居民服务业,547.1756,宁波市鄞州下应东南片区拆迁置业有限公司,0.000.00,2018年12月7日,2020年6月5日,2022年6月4日,,,,
鄞州区,宁波布利杰置业发展有限责任公司带征地,钟公庙街道钟公庙村,0.0664,公园与绿地,划拨,,中国共产党机关,,宁波市鄞州区人民政府潘火街道办事处,,2018年12月7日,2019年4月7日,2019年10月7日,,,,
鄞州区,宁波禾元投资有限公司代征地,宁波市鄞州区钟公庙街道,0.0756,街巷用地,划拨,,中国共产党机关,,宁波市鄞州区人民政府钟公庙街道办事处,,2018年12月7日,2019年4月11日,2019年10月11日,,,,
鄞州区,宁波市鄞州区人民政府下应街道办事处（邻里服务站）带征地,鄞州区人民政府潘火街道,0.2351,公园与绿地,划拨,,中国共产党机关,,宁波市鄞州区人民政府下应街道办事处,,2018年12月7日,2019年4月7日,2019年10月7日,,,,
鄞州区,宁波勤大投资有限公司带征地,宁波市鄞州区钟公庙街道,0.0673,街巷用地,划拨,,中国共产党机关,,宁波市鄞州区人民政府钟公庙街道办事处,,2018年12月7日,2019年4月7日,2019年10月7日,,,,
鄞州区,鄞州新城区慧灯寺-3-B地块（宁波市鄞州区宁南建设开发有限公司）带征地,宁波市鄞州区钟公庙街道慧灯寺村,0.0475,水工建筑用地,划拨,,中国共产党机关,,宁波市鄞州区宁南建设开发有限公司,,2018年12月7日,2019年4月7日,2019年10月7日,,,,
鄞州区,鄞州新城区慧灯寺4号地块(宁波市鄞州区宁南建设开发有限公司)带征地,钟公庙街道慧灯寺村,0.3297,公园与绿地,划拨,,中国共产党机关,,宁波市鄞州区人民政府钟公庙街道办事处,,2018年12月7日,2019年4月7日,2019年10月7日,,,,
鄞州区,宁波市鄞州区人民政府首南街道办事处(新城区惠风西路学校地块)带征地,鄞州区首南街道,0.31,水工建筑用地,划拨,,中国共产党机关,,宁波市鄞州区人民政府首南街道办事处,,2018年12月7日,2019年4月7日,2019年10月7日,,,,
鄞州区,鄞州区警犬基地工程地块（宁波市公安局鄞州分局）带征地,宁波市鄞州区姜山镇阳府兴村,0.1499,公园与绿地,划拨,,中国共产党机关,,宁波市鄞州区姜山镇人民政府,,2018年12月7日,2019年4月7日,2019年10月7日,,,,
鄞州区,宁波市鄞州区首南街道新村建设办公室（九曲小区二期）带征地,首南街道前周村,0.0677,公园与绿地,划拨,,中国共产党机关,,宁波市鄞州区人民政府首南街道办事处,,2018年12月7日,2019年4月7日,2019年10月7日,,,,
鄞州区,宁波卓安投资有限公司带征地,钟公庙街道毛家漕村,0.1761,街巷用地,划拨,,中国共产党机关,,宁波市鄞州区人民政府钟公庙街道办事处,,2018年12月7日,2019年4月7日,2019年10月7日,,,,
鄞州区,浙江嘉信进出口有限公司带征地,宁波市鄞州区钟公庙街道,0.0648,街巷用地,划拨,,中国共产党机关,,宁波市鄞州区人民政府钟公庙街道办事处,,2018年12月7日,2019年4月8日,2019年10月7日,,,,
鄞州区,东睦新材料集团股份有限公司带征地,宁波市鄞州区姜山镇,0.0746,水工建筑用地,划拨,,中国共产党机关,,宁波市鄞州区姜山镇人民政府,,2018年12月7日,2019年4月7日,2019年10月7日,,,,
鄞州区,宁波奥克斯智能家用电器制造有限公司带征地,鄞州区姜山镇王伯桥村,0.6742,街巷用地,划拨,,中国共产党机关,,宁波市鄞州区姜山镇人民政府,,2018年12月7日,2019年4月7日,2019年10月7日,,,,
鄞州区,宁波四明文创投资有限公司带征地,鄞州区钟公庙街道,0.4518,公园与绿地,划拨,,中国共产党机关,,宁波市鄞州区人民政府钟公庙街道办事处,,2018年12月7日,2019年4月7日,2019年10月7日,,,,
鄞州区,宁波林新城置业有限公司带征地,下应街道土桥村,0.1857,公园与绿地,划拨,,中国共产党机关,,宁波市鄞州区人民政府下应街道办事处,,2018年12月7日,2019年4月7日,2019年10月7日,,,,
鄞州区,宁波海创科技园开发有限公司带征地,潘火街道齐心村,0.2675,街巷用地,划拨,,中国共产党机关,,宁波市鄞州区人民政府下应街道办事处,,2018年12月7日,2019年4月7日,2019年10月7日,,,,
鄞州区,鄞州新城区YZ07-03-45地块带征地,宁波市鄞州区钟公庙街道慧灯寺村,0.1158,公园与绿地,划拨,,中国共产党机关,,宁波市鄞州区人民政府钟公庙街道办事处,,2018年12月7日,2019年4月7日,2019年10月7日,,,,
鄞州区,宁波市广美投资有限公司带征地,宁波市鄞州区钟公庙街道,0.1334,街巷用地,划拨,,中国共产党机关,,宁波市鄞州区人民政府钟公庙街道办事处,,2018年12月7日,2019年4月7日,2019年10月7日,,,,
鄞州区,宁波市瑞奕房地产发展有限公司带征地,宁波市鄞州区首南街道,0.6544,公园与绿地,划拨,,群众团体、社会团体和宗教组织,0,宁波市鄞州区人民政府首南街道办事处,0.000.00,2018年12月7日,2019年4月10日,2019年10月10日,,,,
鄞州区,鄞州区横溪镇周夹村新村建设5号地块带征地,横溪镇,0.0954,街巷用地,划拨,,国家机构,,宁波市鄞州区横溪镇人民政府,,2018年12月7日,2019年4月12日,2019年10月12日,,,,
余姚市,北环东路南侧、兵马司路东侧地块周边绿化用地,凤山街道双河村,0.2195,公园与绿地,划拨,,公共设施管理业,19.755,余姚市经济开发区建设投资发展有限公司,,2018年12月7日,2019年12月14日,2021年12月14日,,,,
余姚市,俞赵江路北侧、双河路西侧地块周边绿化用地,凤山街道双河村,0.0383,公园与绿地,划拨,,公共设施管理业,3.447,余姚市经济开发区建设投资发展有限公司,,2018年12月7日,2019年12月14日,2021年12月14日,,,,
余姚市,冶山路北侧地块周边绿化用地,凤山街道双河村,0.2701,公园与绿地,划拨,,公共设施管理业,24.309,余姚市经济开发区建设投资发展有限公司,,2018年12月7日,2019年12月14日,2021年12月14日,,,,
北仑区,高塘外来人口集居小区剩余地块协议出让,新碶,0.1607,中低价位、中小套型普通商品住房用地,协议出让,68,房地产业,60.2625,宁波市北仑区新碶街道高潮股份经济合作社 宁波市北仑区新碶街道横浦股份经济合作社 宁波市北仑区新碶街道备碶股份经济合作社 宁波市北仑区新碶街道凤洋股份经济合作社,1.501.50,2018年12月7日,2019年9月17日,2021年12月17日,,,,
余姚市,邵竹小区西地块道路周边绿化用地,凤山街道双河村,0.0526,公园与绿地,划拨,,公共设施管理业,4.734,余姚市经济开发区建设投资发展有限公司,,2018年12月7日,2019年12月14日,2021年12月14日,,,,
